employeeID ,education ,maritalStatus ,monthlyIncome ,numCompaniesWorked ,environmentSatisfaction ,trainingTimesLastYear 
3529,4,Single,24390,0,3,2
2531,3,Single,73140,7,3,2
4431,1,Married,47740,2,3,2
5136,4,Single,39020,1,3,2
747,3,Married,26620,1,3,6
1312,2,Single,28560,1,4,5
3371,3,Divorced,10810,4,4,4
3415,3,Single,24720,7,1,2
1210,4,Married,56730,5,1,4
463,3,Married,41970,1,4,3
145,1,Married,97130,1,3,5
4747,4,Married,20620,1,3,4
2426,1,Married,42840,4,4,0
1240,2,Single,47880,3,2,0
1465,3,Married,59060,4,4,4
1762,3,Divorced,38860,1,3,2
4917,3,Married,168230,0,3,3
4738,4,Single,29330,3,4,2
5156,2,Married,65000,8,3,3
4948,1,Married,171740,9,4,6
2377,4,Married,50330,2,2,6
4650,3,Married,23070,1,2,0
3609,3,Single,25870,0,2,3
2960,3,Divorced,55070,1,4,2
3874,2,Married,43930,1,2,2
4691,4,Divorced,133480,7,4,4
2037,4,Divorced,65830,0,3,1
2417,3,Single,81030,1,3,5
2892,4,Divorced,39780,1,4,0
947,2,Single,25440,0,3,3
4876,4,Divorced,53990,1,3,2
3239,2,Single,54870,6,4,0
4022,3,Single,68340,3,2,2
2041,4,Single,10910,2,1,0
4595,4,Married,57360,1,4,1
2346,4,Divorced,22260,0,3,3
142,3,Married,57470,1,3,0
4135,4,Married,98540,3,1,2
262,5,Divorced,54670,4,3,2
4524,4,Married,53800,7,4,0
2822,3,Married,51510,1,3,3
3714,2,Single,21330,3,1,2
337,3,Single,178750,1,1,5
3934,3,Single,24320,4,4,4
1191,3,Married,47710,4,1,2
867,4,Married,191610,2,4,2
3029,3,Married,50870,3,4,3
1602,5,Single,28630,1,1,2
393,2,Single,55610,1,4,3
1175,3,Married,21440,6,3,3
2854,4,Married,30650,2,3,3
270,1,Single,28100,1,1,3
4470,3,Single,98880,6,4,2
3998,3,Married,86280,2,3,2
303,3,Single,28670,0,NA,5
2452,2,Single,53730,1,3,2
381,3,Single,66670,9,4,6
3367,3,Single,50030,9,3,2
1107,3,Divorced,23670,NA,4,2
4237,2,Single,28580,1,2,2
4246,3,Single,52040,8,2,3
3698,2,Married,41050,4,3,2
3762,2,Married,96790,4,4,1
5148,3,Single,56170,8,1,3
3812,3,Single,104480,2,3,3
5411,3,Divorced,28970,1,4,4
3204,3,Married,59680,1,3,3
1514,3,Single,75100,0,3,3
2879,5,Married,29910,1,1,3
4031,3,Married,196360,1,2,3
4334,2,Single,11290,9,3,2
2770,1,Divorced,133410,1,4,3
5405,2,Divorced,43320,7,4,3
1322,3,Divorced,110310,3,2,2
177,1,Single,44400,2,3,3
724,2,Divorced,46170,1,1,2
1142,2,Married,26470,6,2,2
2642,3,Married,63230,4,1,2
4982,3,Married,56770,9,3,3
4687,4,Married,21870,1,2,2
1280,3,Married,37480,7,4,3
1492,4,Divorced,39770,4,3,3
2786,2,Single,86330,1,2,2
999,3,Married,20080,3,2,5
2938,1,Married,44400,1,4,2
4047,4,Divorced,30670,1,2,5
2228,4,Married,53210,9,3,1
1830,4,Single,54100,0,2,2
681,3,Married,27820,1,2,2
210,3,Divorced,119570,1,3,2
1449,2,Married,26600,5,1,3
1993,2,Married,33750,2,4,2
2936,3,Married,50980,3,1,4
3577,3,Married,48780,2,4,3
3226,3,Divorced,28370,2,1,0
741,3,Single,24060,2,3,5
909,3,Married,22690,5,1,4
2190,4,Divorced,41080,2,3,5
1447,4,Married,132060,0,4,2
436,2,Single,104220,1,1,0
765,3,Divorced,137440,0,4,3
2227,3,Married,49070,1,4,3
2891,4,Married,34820,0,3,2
3588,2,Divorced,24360,1,1,2
654,3,Married,23800,4,3,2
3895,3,Married,194310,1,2,3
2367,4,Married,17900,5,3,4
4063,3,Single,76440,1,1,2
868,4,Married,51310,0,3,2
1861,2,Divorced,63060,3,1,3
2396,4,Married,47870,0,2,3
3595,2,Single,188800,0,3,3
2988,3,Married,23390,4,3,4
2322,3,Divorced,135700,5,1,2
4112,1,Married,67120,6,1,3
4815,2,Single,54060,0,4,2
5399,4,Single,89380,7,3,2
1233,2,Divorced,24390,3,4,2
466,3,Married,88370,2,3,3
1442,3,Divorced,53430,1,3,3
2204,3,Married,67280,7,2,2
1034,4,Divorced,66520,7,1,5
5312,3,Single,48500,0,4,4
300,2,Married,28090,4,4,2
3045,2,Married,56890,3,1,2
2785,1,Divorced,20010,9,2,5
1742,4,Married,29770,4,2,3
473,4,Single,40250,1,2,3
1597,3,Single,37850,5,3,2
2917,3,Married,108540,2,2,6
4398,3,Single,120310,3,1,5
118,2,Single,99360,7,4,2
1644,3,Married,29660,9,2,2
2036,3,Single,25710,7,2,1
1963,1,Married,99910,1,3,3
2357,4,Single,61420,4,2,2
5474,3,Married,53900,1,4,3
4543,1,Married,44040,0,4,2
3450,1,Divorced,59930,0,NA,3
2655,3,Divorced,51300,4,4,3
3044,3,Divorced,20900,4,1,2
1941,4,Divorced,29090,9,3,2
1704,3,Single,34680,1,2,4
3161,4,Divorced,30680,3,3,3
3309,3,Single,26700,2,1,2
696,4,Divorced,26930,5,1,3
3745,4,Single,95260,1,1,2
211,3,Single,52370,1,4,3
674,3,Single,24260,1,3,3
4737,1,Single,41930,4,2,5
1659,1,Married,29110,5,1,3
2691,1,Married,26610,7,2,2
2955,2,Divorced,20280,1,1,3
2524,1,Divorced,99800,NA,4,2
1950,2,Married,32980,8,4,4
2911,3,Married,29350,0,4,5
799,3,Married,154270,3,3,2
3719,4,Married,39440,6,2,3
3652,1,Divorced,40110,1,4,2
4041,3,Married,34070,1,2,2
3157,4,Married,119940,1,1,6
4549,3,Married,12320,1,4,4
1613,2,Married,29600,1,1,2
5230,3,Married,190940,1,2,3
3507,3,Married,39190,1,1,3
1111,3,Married,68250,1,2,2
4860,2,Married,102480,1,2,4
276,1,Divorced,189470,2,2,2
4101,3,Single,24960,4,1,3
3396,3,Divorced,64650,4,1,3
4675,4,Divorced,22060,0,1,4
2974,4,Married,20860,4,4,3
339,4,Single,22930,1,4,3
356,4,Married,26450,1,3,5
1939,5,Divorced,26830,4,2,3
1281,4,Single,20140,3,3,5
340,3,Divorced,34190,3,4,5
2384,1,Married,53760,7,4,3
1469,4,Single,19510,4,1,4
4181,4,Divorced,23410,1,3,3
2732,3,Divorced,22930,0,3,0
931,2,Single,87260,1,3,2
179,2,Married,40110,4,4,2
3389,2,Married,195450,0,1,3
3319,4,Divorced,45680,0,3,2
5049,1,Married,30220,1,1,3
2681,5,Divorced,57720,1,3,3
1789,3,Single,22690,7,4,2
1776,5,Married,53810,1,2,0
2982,4,Married,34410,2,1,5
4306,2,Married,54540,1,3,5
1119,3,Married,98840,1,3,3
854,3,Married,41570,1,2,2
1577,5,Single,134580,1,2,3
3256,3,Divorced,90690,3,3,3
4857,2,Married,40140,2,3,4
680,3,Divorced,59150,2,2,3
2348,3,Single,59930,0,1,3
974,3,Single,61620,1,4,2
2971,4,Single,24060,1,1,3
4261,1,Married,187400,1,3,2
1027,3,Married,76370,2,1,3
1016,3,Married,100960,0,4,3
3333,3,Single,147560,0,4,3
4853,4,Divorced,64990,1,2,3
3571,3,Married,97240,3,2,2
1831,3,Divorced,21940,1,4,5
5270,3,Single,33880,3,4,2
2665,3,Married,54730,1,4,2
911,1,Single,27030,1,4,2
1164,2,Single,25010,9,1,3
1360,5,Single,62200,1,4,2
3983,3,Single,30380,1,4,5
4950,2,Married,44240,3,2,2
3693,4,Single,43120,0,2,2
1710,3,Married,132450,1,3,3
2385,3,Single,136640,3,3,6
214,3,Single,50210,2,4,3
1711,4,Married,51260,5,4,2
2710,1,Married,28590,3,3,2
3103,3,Divorced,102390,3,2,3
3606,2,Single,53290,8,1,3
2882,1,Divorced,43250,1,4,2
1685,3,Married,72600,1,4,2
3605,3,Married,23220,7,4,0
5284,4,Single,20750,7,1,0
2397,4,Married,41520,9,1,3
4871,3,Single,96190,4,3,2
5534,2,Single,135030,2,1,6
1157,3,Divorced,54410,9,4,6
240,3,Divorced,52090,7,3,3
2125,2,Single,106730,1,3,2
1519,1,Divorced,50100,6,3,3
3881,1,Married,135490,3,4,3
3001,5,Single,49990,3,2,2
2467,3,Married,42210,1,2,4
2554,4,Married,138720,9,3,3
4123,4,Married,20420,7,3,6
4243,3,Single,20730,0,4,3
4614,3,Single,29560,8,4,6
3441,3,Divorced,29260,1,4,3
3384,3,Single,48090,2,4,2
5327,1,Divorced,51630,2,4,4
1153,4,Married,188440,1,NA,3
546,3,Married,181720,6,4,5
1992,3,Divorced,57440,3,2,4
4638,5,Married,28890,1,3,2
248,2,Single,28710,1,4,2
1162,3,Single,74840,1,3,3
1982,3,Single,60740,0,2,2
2581,1,Single,173280,1,1,2
5133,3,Single,27740,4,2,2
1390,3,Single,45050,1,4,3
4006,3,Married,74280,5,4,2
1125,2,Single,116310,1,1,2
1933,4,Married,97380,0,4,2
5458,2,Divorced,28350,3,1,2
2880,2,Married,169590,4,2,5
4003,2,Single,26130,6,4,2
4751,4,Single,61460,2,2,3
1368,4,Divorced,49630,9,4,2
3108,2,Married,195370,0,3,5
622,4,Divorced,61720,0,4,1
2090,4,Single,23680,6,1,3
4320,3,Single,103120,1,3,2
1509,4,Married,16750,1,1,6
280,3,Married,25230,3,4,2
181,4,Married,65670,1,3,3
698,3,Married,47390,5,3,2
475,4,Divorced,92080,1,2,2
4481,3,Married,45590,1,3,2
3221,5,Divorced,81890,1,3,3
2538,3,Married,29420,8,4,1
3727,4,Married,49410,5,3,3
5331,4,Married,106500,1,2,2
929,4,Married,59020,0,3,2
5188,5,Single,86390,5,1,3
3148,4,Married,63470,1,3,2
4941,3,Married,42000,0,3,3
3552,3,Married,34520,1,3,3
3570,3,Single,43170,7,4,2
2684,4,Single,26320,3,4,3
3513,1,Married,46680,9,4,2
4349,4,Single,32040,6,3,4
2866,3,Married,27200,4,3,3
2790,1,Married,171810,1,3,2
688,3,Single,22380,NA,1,3
1012,3,Single,14830,5,3,3
914,4,Single,56050,1,2,2
4688,2,Married,72950,1,2,3
3690,3,Divorced,23060,2,1,5
3891,4,Single,23480,1,3,3
4598,2,Married,89980,1,3,2
2921,3,Single,43190,4,3,3
1384,2,Married,61320,6,2,3
4180,4,Divorced,33460,1,3,2
5076,3,Single,108550,3,3,2
2584,2,Married,22310,1,2,3
3607,5,Married,23230,0,3,2
114,4,Married,20240,1,3,2
2447,3,Married,27130,1,4,2
3540,3,Married,94390,2,1,0
3403,5,Single,25660,9,4,3
136,3,Single,199260,7,1,5
3267,4,Divorced,24510,1,1,3
5358,4,Single,94190,1,3,5
1838,4,Married,86860,1,2,2
2481,4,Divorced,30380,2,2,3
3030,5,Divorced,30580,9,2,2
3840,3,Married,23250,7,1,1
4429,5,Divorced,20880,4,4,2
5175,3,Married,30720,5,3,4
3013,1,Married,50060,3,3,2
1672,2,Divorced,42570,4,4,2
3388,4,Divorced,25000,1,2,3
880,2,Married,11020,6,4,3
648,3,Married,104530,2,1,2
1081,4,Single,22880,5,2,4
2685,3,Married,39290,0,1,6
4250,3,Married,23110,1,3,2
1220,2,Married,31400,1,4,2
1824,2,Divorced,36900,1,4,2
3893,3,Divorced,44500,0,4,3
5449,3,Married,27560,1,3,2
1325,3,Married,190330,2,3,5
2092,5,Married,187220,0,1,3
4388,5,Married,95470,1,2,3
4606,2,Married,137340,0,2,3
1703,1,Married,199990,2,3,6
3958,3,Married,22790,3,4,3
2021,3,Divorced,59160,6,2,2
2518,3,Married,20890,5,1,2
1103,3,Married,167920,3,4,3
4712,4,Married,35640,5,3,1
1869,1,Single,44250,6,4,2
2151,3,Married,52650,4,4,4
5275,4,Married,65530,0,3,2
3305,5,Single,62610,1,1,1
3097,3,Divorced,42980,1,1,6
4145,3,Married,68040,8,4,3
4159,3,Divorced,38150,3,4,3
2369,1,Single,27410,1,1,5
1271,4,Divorced,66730,6,1,2
3755,2,Married,76390,1,2,6
2927,5,Single,23280,1,1,3
3837,2,Divorced,21530,9,4,3
5605,4,Divorced,48760,4,1,4
1815,3,Single,93960,1,3,6
3487,3,Single,104000,1,NA,2
4013,4,Married,84740,0,3,3
833,3,Single,99810,1,4,3
269,4,Married,124900,0,2,3
4111,3,Divorced,26570,4,2,3
2050,3,Divorced,135910,5,3,2
1002,4,Married,66960,7,4,3
976,3,Single,20580,1,2,5
307,2,Divorced,88650,1,2,0
1542,1,Single,59400,7,3,2
582,3,Single,59140,3,3,4
3610,4,Divorced,26220,2,3,3
1248,3,Married,121850,3,2,2
3632,1,Married,106090,1,4,3
2293,2,Married,43450,4,1,3
2220,4,Married,21770,4,4,4
2635,2,Married,27930,1,4,4
4372,4,Single,79180,2,2,3
3839,3,Married,87890,1,4,4
2248,3,Married,23890,6,3,4
3265,2,Married,32120,1,3,3
4164,4,Divorced,192320,2,1,3
1134,3,Single,22670,1,3,2
1462,4,Single,195170,2,4,5
3549,3,Single,24360,4,3,3
1196,3,Single,160640,1,4,3
3399,3,Single,27070,1,1,2
4900,4,Married,190680,0,4,1
3297,3,Divorced,39310,8,4,2
2491,3,Married,37300,1,3,4
5389,3,Married,22320,1,3,2
1478,4,Single,44650,0,2,3
352,4,Married,30720,5,1,3
1857,1,Married,33190,1,3,3
1239,1,Married,192020,1,3,5
4753,3,Married,136750,1,3,5
2421,4,Married,29110,2,4,3
1999,2,Single,59570,4,4,2
3227,3,Divorced,39200,6,3,3
1049,4,Divorced,64340,5,3,3
511,3,Single,100480,1,3,2
2600,2,Divorced,109380,6,4,2
2931,1,Single,23400,0,1,2
2673,4,Single,65450,4,2,2
261,4,Divorced,69310,1,3,3
1595,1,Divorced,48980,4,1,3
4700,4,Single,25930,0,3,2
2693,3,Single,194360,1,4,4
3133,5,Single,27230,6,4,2
787,2,Single,34790,3,2,3
4356,1,Divorced,27940,3,4,2
4814,1,Divorced,52490,9,4,2
5350,3,Married,21760,1,3,2
1593,3,Divorced,168720,2,1,2
3211,4,Married,34850,9,3,2
5212,3,Married,66440,1,4,3
3548,4,Single,55820,1,4,3
3370,3,Married,40000,4,1,5
2214,3,Married,134960,3,4,3
2106,3,Married,32100,0,3,5
2444,3,Divorced,190450,6,4,2
2100,3,Divorced,118490,1,4,3
150,3,Divorced,20700,1,3,1
1624,2,Married,65020,1,3,3
4399,4,Single,32300,1,2,3
3647,3,Married,136030,8,3,2
4316,4,Divorced,119960,1,3,3
2268,3,Married,56050,0,2,0
946,2,Single,63970,1,4,3
2241,4,Single,191440,0,2,3
4672,3,Married,175840,1,4,2
3031,3,Married,49070,NA,2,2
4633,4,Single,45540,2,1,3
4924,3,Single,54150,7,3,1
2576,3,Single,47410,6,4,3
3485,3,Married,21150,1,4,3
3649,3,Married,31610,0,1,0
5064,3,Divorced,57450,1,2,4
1197,4,Married,23730,6,4,3
4679,3,Married,33100,4,1,3
4114,4,Single,186650,3,3,3
2304,3,Married,44850,5,1,2
3694,2,Married,27890,3,3,2
1539,1,Divorced,58280,1,2,0
1237,2,Single,23260,8,NA,3
3077,1,Single,135250,8,2,4
2688,4,Married,14200,1,1,2
768,3,Married,80200,3,4,2
1523,2,Married,36880,0,4,3
3017,4,Single,54820,1,3,3
3536,3,Single,160150,1,4,3
492,2,Single,12000,0,2,3
4043,2,Married,56610,3,4,2
3655,3,Single,69290,9,4,6
5224,4,Divorced,96130,0,2,5
2159,3,Married,56740,3,2,6
2934,1,Single,54840,1,2,6
835,2,Married,120610,2,3,2
1778,2,Divorced,56600,7,1,3
3495,3,Married,48210,6,1,2
2627,2,Married,64100,1,3,5
2568,3,Married,52100,1,4,1
5502,4,Married,26950,3,3,4
2714,4,Married,118780,2,2,2
1832,3,Single,170680,3,4,6
355,3,Married,24550,1,3,2
5192,3,Divorced,139640,1,1,1
5608,1,Divorced,49410,9,4,2
159,3,Married,24780,6,3,0
483,2,Married,52280,2,1,4
4826,2,Single,44780,0,4,3
219,3,Single,75470,7,3,2
2475,2,Divorced,50550,5,3,2
1934,3,Single,34640,1,4,3
837,4,Single,57750,1,3,2
3636,3,Divorced,89430,8,4,6
5497,3,Married,192720,9,1,2
158,4,Single,52380,1,2,4
562,4,Married,46820,1,1,3
3795,3,Married,183000,0,3,6
2201,4,Married,52570,1,2,2
2326,3,Married,63490,0,3,3
5145,4,Married,48690,4,1,2
5603,3,Married,99850,1,1,3
4475,5,Married,36970,3,4,1
514,3,Single,74570,3,3,1
405,4,Married,21190,9,2,3
3734,4,Divorced,39830,4,4,3
5125,4,Single,61180,0,4,3
2283,2,Single,62140,1,1,3
5305,1,Divorced,63470,1,1,2
2113,4,Single,115100,0,1,5
2616,4,Divorced,71430,2,4,6
488,4,Married,82680,1,4,3
271,2,Divorced,80950,1,1,3
5585,2,Single,29040,4,1,2
3788,1,Married,60320,0,4,2
3725,3,Divorced,29760,1,1,3
1007,4,Single,159920,3,4,3
1661,3,Married,46490,0,4,2
684,1,Married,26960,3,3,3
4544,1,Single,23700,2,1,3
2392,3,Married,125040,1,2,2
1650,3,Single,59740,7,2,6
870,2,Divorced,47360,0,3,3
918,3,Divorced,52960,4,3,3
5504,3,Divorced,67810,0,4,2
5057,4,Married,21740,3,1,3
3395,4,Single,66530,7,4,2
5337,3,Married,96990,8,3,3
5219,3,Divorced,67550,7,1,2
3132,1,Single,22130,1,3,4
885,4,Single,26100,1,4,3
565,3,Single,28510,9,3,2
663,3,Single,34520,2,1,4
3887,3,Married,52580,0,3,5
3116,4,Married,93550,0,1,4
1101,2,Divorced,104960,1,4,2
4695,2,Married,63800,6,4,1
4795,1,Single,26570,2,4,3
2226,4,Divorced,27160,0,4,2
3630,2,Single,22010,4,2,3
1727,2,Married,65400,1,2,2
3910,3,Married,38160,1,3,2
950,4,Divorced,52530,1,3,2
2851,4,Single,109650,1,3,5
3703,2,Single,49360,0,1,2
1601,2,Married,25430,3,2,3
465,3,Married,53040,1,3,3
5380,3,Divorced,166590,7,3,2
4801,2,Married,42600,1,4,2
2071,1,Married,24760,1,2,2
1571,3,Single,31020,1,3,3
5297,3,Married,22440,1,4,5
5197,4,Single,75960,9,2,0
4289,4,Single,22850,0,3,3
1133,2,Single,30340,7,2,3
4132,3,Married,57150,6,4,0
462,4,Single,25760,8,4,3
1039,4,Married,41970,1,3,3
5239,4,Married,143360,1,1,3
1021,2,Married,34480,1,3,3
5527,4,Married,194060,3,3,2
5247,5,Divorced,65380,2,3,3
1250,2,Single,43060,0,4,2
389,3,Married,22580,1,4,2
2788,3,Single,45220,8,1,3
938,2,Divorced,44870,1,3,5
3339,2,Divorced,44490,4,4,3
4080,1,Married,22180,1,2,1
4259,4,Single,191970,1,3,2
607,3,Married,132120,4,1,4
1214,4,Married,65770,1,4,1
4064,3,Single,83920,1,1,5
4626,2,Single,45580,1,3,2
479,4,Divorced,40310,3,4,3
3534,3,Married,79690,0,2,3
4942,4,Married,26540,0,3,5
296,3,Married,165550,8,3,4
980,3,Single,45560,2,4,4
4318,4,Married,60910,1,2,6
4029,3,Divorced,195660,6,1,2
5464,3,Divorced,48100,8,3,3
3823,3,Married,45230,5,2,5
3942,4,Married,32020,2,4,2
720,3,Married,23510,1,4,4
1829,4,Married,17020,5,4,2
2595,4,Married,180410,3,3,3
3783,4,Married,28860,1,4,5
5067,2,Married,20970,1,2,5
4989,2,Divorced,119350,1,3,6
4773,3,Divorced,25460,1,3,2
2983,4,Single,25640,1,4,3
209,4,Single,84120,1,3,2
3022,1,Divorced,141180,2,4,3
4191,4,Married,170460,7,4,3
5505,2,Divorced,25640,0,2,3
1165,3,Married,102660,1,3,3
379,3,Single,50700,4,4,6
2874,2,Divorced,178610,2,3,2
3543,2,Married,42300,0,1,0
4055,3,Divorced,37800,7,2,2
360,2,Single,27680,0,3,0
2022,3,Married,90710,0,4,2
1323,2,Married,106480,3,1,1
5398,1,Married,136100,4,3,4
4602,3,Married,34080,1,1,2
2116,2,Divorced,29830,7,4,2
4601,4,Married,76320,1,1,3
3326,2,Single,98240,1,1,2
4172,4,Divorced,99500,1,1,3
1689,4,Married,20930,3,4,2
4142,3,Married,99800,1,3,1
726,1,Single,38940,1,3,3
4478,4,Single,40510,5,3,3
3975,2,Married,168350,3,3,3
5060,4,Married,62300,2,1,2
5445,2,Married,47170,1,3,3
902,4,Single,132370,5,4,2
4105,4,Divorced,37550,1,1,2
2378,4,Divorced,65820,1,3,3
3900,1,Single,74060,6,4,2
3457,3,Divorced,48050,NA,4,2
4777,4,Married,27410,0,3,3
750,3,Married,42620,7,2,2
3261,2,Divorced,161840,0,4,2
335,4,Single,115570,1,2,0
2040,3,Married,18780,1,4,2
4625,1,Single,109320,1,3,3
2425,3,Single,68110,1,3,4
4027,3,Single,43060,2,1,3
370,3,Divorced,48590,1,4,3
915,2,Single,53370,1,1,2
2196,4,Married,23400,2,4,2
474,4,Single,74910,0,3,3
345,3,Divorced,105270,4,4,3
246,2,Single,165950,6,4,2
5153,4,Divorced,88340,4,3,1
683,3,Single,55770,0,4,3
5515,4,Divorced,47070,1,3,4
2380,3,Married,24000,4,3,3
5173,3,Married,98240,0,3,2
3579,4,Married,64470,6,2,3
3343,2,Single,195020,3,4,3
3257,4,Single,27250,9,3,4
1608,4,Married,62720,1,1,3
5325,3,Married,21270,1,4,3
1648,4,Single,182000,0,2,3
2059,4,Single,20960,7,3,2
512,4,Divorced,28860,3,2,4
968,4,Single,20330,2,4,5
559,2,Single,36220,1,4,0
5121,4,Married,42330,1,3,5
5243,3,Single,36810,3,NA,2
4295,1,Divorced,54600,6,3,3
1296,3,Divorced,21870,1,1,1
5490,3,Married,96020,1,4,3
1420,2,Single,28360,0,3,3
3165,1,Married,40890,0,1,2
5477,3,Married,166270,3,4,5
1290,3,Single,26190,6,4,3
1252,3,Married,56790,0,3,2
5205,2,Married,154020,4,4,3
1192,1,Single,59850,2,4,1
4678,2,Single,25790,9,2,1
182,4,Married,30410,1,2,2
3313,1,Single,34470,0,1,5
3467,2,Divorced,195130,1,4,1
5391,3,Single,27730,1,3,3
2011,1,Single,71040,1,4,3
2465,3,Married,63220,4,1,2
2066,3,Married,20830,0,3,3
5489,3,Married,83810,4,4,3
2061,2,Single,26910,6,4,6
1931,1,Divorced,42860,9,3,6
4985,2,Divorced,26590,0,4,2
137,3,Single,94340,1,3,3
3260,4,Divorced,55610,0,3,2
1225,2,Single,66460,1,3,2
965,2,Divorced,77250,1,3,2
2188,4,Divorced,107250,3,2,5
3824,3,Single,88470,1,3,3
4800,2,Married,20450,3,4,3
5298,4,Married,10090,7,3,3
2363,4,Married,33480,3,2,2
1095,2,Married,12810,2,1,2
3969,1,Single,28190,1,4,2
4353,3,Married,48510,8,3,2
2026,1,Single,40280,3,4,3
1879,4,Single,27200,1,4,2
2153,4,Married,81200,0,4,2
1816,4,Single,46470,3,4,3
2773,3,Single,46800,6,1,0
5011,4,Married,32210,4,4,2
1786,2,Divorced,86210,1,1,1
200,3,Divorced,45770,5,2,3
4276,3,Married,45530,4,2,2
1870,2,Single,53960,7,3,2
4956,2,Married,67960,0,4,2
4406,3,Divorced,76250,1,4,2
4858,4,Single,74120,1,3,4
3564,3,Married,111590,1,3,2
1204,2,Married,49600,1,4,3
705,4,Married,104750,3,1,3
2199,3,Married,148140,2,2,2
1721,3,Divorced,191410,3,4,2
697,2,Married,54050,7,3,3
3539,3,Married,87930,6,2,2
3065,4,Married,191890,0,3,3
2973,2,Married,38750,3,3,3
1057,4,Married,22160,2,1,2
1929,1,Married,117130,2,4,2
5222,2,Single,78610,1,1,1
1797,4,Married,37080,1,4,2
1283,5,Single,137700,1,4,3
3223,2,Single,53040,0,1,2
1722,3,Married,26420,0,3,3
3999,2,Married,27590,9,3,6
3684,5,Single,68040,4,1,1
1409,4,Single,61420,2,3,2
2776,4,Married,25000,4,1,2
2303,4,Single,63890,0,3,2
5433,3,Single,111030,1,2,5
5087,5,Single,23420,3,1,2
4369,2,Single,68110,0,3,2
3341,3,Single,22970,6,4,2
819,3,Married,24500,3,4,2
2759,3,Divorced,50930,2,2,3
3972,3,Single,53090,3,1,5
5292,3,Single,30570,1,2,3
1735,3,Divorced,51210,7,4,4
1410,3,Single,168560,3,1,3
1205,1,Divorced,26860,5,4,3
4030,3,Single,61800,1,1,2
2522,4,Married,66320,0,2,3
2017,3,Single,35050,1,1,2
491,3,Married,63970,4,3,3
733,4,Married,62740,7,1,0
4154,4,Married,198590,3,1,3
495,4,Single,75870,0,3,5
1366,4,Married,42580,2,1,2
4510,2,Married,43640,3,1,3
3618,1,Married,43350,1,4,5
3185,3,Married,53260,4,4,2
4456,2,Married,32800,5,4,3
732,3,Married,54850,2,2,2
3248,2,Divorced,43420,3,3,6
4046,3,Divorced,27820,1,1,5
5316,1,Divorced,59800,4,1,2
5103,4,Single,43810,2,1,1
829,3,Single,25720,1,3,3
1004,2,Divorced,38330,2,2,1
5176,4,Single,42440,9,4,3
869,4,Married,65000,6,2,5
2280,2,Married,184300,4,2,5
2185,3,Divorced,16010,4,3,3
5486,4,Married,26940,1,1,3
2765,4,Divorced,31490,2,4,1
1677,2,Single,176390,0,4,0
1979,3,Single,23190,3,3,4
3291,4,Single,116910,4,4,2
5544,3,Married,53240,2,1,2
3764,4,Divorced,167520,2,3,3
555,1,Single,52280,1,4,2
1581,3,Married,27000,0,4,2
4882,4,Single,192460,3,4,5
5233,2,Married,25060,8,4,3
2696,4,Single,60620,1,1,2
896,3,Married,43820,7,1,2
3361,3,Divorced,21430,1,3,2
849,1,Married,61620,0,2,5
3869,3,Divorced,50940,3,3,5
2018,4,Divorced,68770,7,2,3
583,3,Married,22740,3,1,5
777,3,Single,44340,NA,1,1
1599,1,Single,62880,0,1,2
273,4,Married,25530,1,4,4
