jobID,jobInvolvement,jobLevel,jobRole ,jobSatisfaction 
182,2,2,UI designer,3
183,4,1,Android dev,1
184,2,1,Mobile,3
185,3,1,IOS dev,4
186,3,2,UX designer,3
187,3,1,UI designer,4
188,3,1,Frontend dev,2
189,2,2,UI designer,4
190,2,1,UI designer,3
191,3,2,IOS dev,3
192,3,1,UI designer,3
193,2,3,UI designer,4
194,3,3,UI designer,1
195,3,4,Mobile,2
196,3,2,UI designer,3
197,2,1,UI designer,4
198,3,1,Android dev,3
199,3,1,Android dev,4
200,4,1,Android dev,2
201,2,2,Frontend dev,1
202,2,2,Frontend dev,3
203,2,3,UI designer,3
204,2,2,IOS dev,3
205,2,1,Frontend dev,4
206,1,2,IOS dev,4
207,3,1,Frontend dev,4
208,3,5,IOS dev,3
209,3,1,Frontend dev,1
210,3,1,Backend dev,2
211,3,1,UI designer,1
212,2,2,PM,3
213,2,1,Frontend dev,4
214,3,1,PM,3
215,3,5,Frontend dev,2
216,1,1,IOS dev,3
217,2,1,Backend dev,4
218,3,4,Frontend dev,2
219,1,1,UI designer,2
220,3,1,UX designer,2
221,2,1,Mobile,3
222,3,2,Backend dev,3
223,3,2,UI designer,1
224,3,4,QA,4
225,2,1,UX designer,1
226,3,5,UI designer,4
227,3,2,Frontend dev,4
228,3,1,UI designer,3
229,3,2,UI designer,3
230,1,1,IOS dev,2
231,3,2,PM,4
232,3,2,PM,4
233,4,1,UI designer,1
234,3,2,IOS dev,3
235,4,2,IOS dev,1
236,4,2,Mobile,3
237,2,1,UI designer,3
238,3,2,Mobile,1
239,1,3,Frontend dev,3
240,3,1,Backend dev,4
241,2,2,Backend dev,3
242,3,2,Android dev,3
243,3,1,QA,4
244,3,3,Android dev,3
245,2,3,Mobile,1
246,3,1,Frontend dev,4
247,3,3,Frontend dev,1
248,4,1,IOS dev,4
249,2,1,Frontend dev,3
250,3,1,Frontend dev,3
251,3,4,UX designer,4
252,3,2,Frontend dev,4
253,2,2,IOS dev,2
254,2,2,Backend dev,2
255,1,5,UX designer,4
256,2,5,IOS dev,3
257,3,1,Frontend dev,1
258,4,1,Android dev,3
259,3,1,Frontend dev,1
260,3,2,UI designer,2
261,2,5,Backend dev,4
262,2,4,IOS dev,4
263,4,1,UI designer,2
264,3,5,UI designer,4
265,4,3,Mobile,4
266,4,1,UX designer,3
267,3,1,Frontend dev,2
268,1,1,Backend dev,3
269,3,1,IOS dev,3
270,1,5,UI designer,4
271,2,4,QA,3
272,2,1,Android dev,4
273,2,5,IOS dev,1
274,3,2,UX designer,4
275,3,5,IOS dev,1
276,3,3,IOS dev,1
277,3,2,UI designer,3
278,3,1,UI designer,4
279,4,5,QA,1
280,2,2,QA,1
281,3,1,Frontend dev,3
282,4,2,PM,2
283,2,3,UX designer,2
284,3,2,Android dev,1
285,3,3,QA,3
286,2,1,Mobile,3
287,2,1,Backend dev,3
288,3,2,Backend dev,4
289,3,1,Android dev,3
290,3,1,Backend dev,3
291,3,1,Backend dev,4
292,4,2,Frontend dev,3
293,3,5,IOS dev,1
294,2,4,UI designer,2
295,3,1,UX designer,4
296,3,2,Backend dev,4
297,3,1,UX designer,1
298,2,2,IOS dev,2
299,3,3,IOS dev,4
300,3,1,Android dev,1
301,1,2,Frontend dev,4
302,3,4,QA,3
303,2,3,PM,1
304,3,3,Mobile,1
305,3,3,PM,4
306,3,2,Backend dev,4
307,3,3,Android dev,3
308,1,2,Android dev,3
309,3,1,Frontend dev,3
310,3,1,UX designer,4
311,3,4,Frontend dev,1
312,1,5,QA,1
313,3,5,UI designer,4
314,3,1,Backend dev,NA
315,3,3,Android dev,3
316,3,2,Frontend dev,1
317,3,2,IOS dev,4
318,3,2,IOS dev,1
319,3,4,Frontend dev,4
320,3,2,Frontend dev,1
321,3,2,QA,1
322,3,1,IOS dev,1
323,2,3,QA,4
324,3,1,Frontend dev,3
325,4,2,Mobile,2
326,3,3,Backend dev,1
327,4,1,Mobile,4
328,2,4,UI designer,1
329,3,1,PM,2
330,2,2,UI designer,3
331,1,2,UI designer,3
332,4,4,Mobile,1
333,3,4,Android dev,3
334,2,1,UI designer,1
335,4,2,Backend dev,4
336,3,2,PM,2
337,2,1,Android dev,3
338,3,2,Mobile,2
339,4,1,UI designer,3
340,3,2,Backend dev,4
341,2,2,UX designer,3
342,3,2,UX designer,2
343,2,2,Mobile,3
344,3,3,UI designer,3
345,3,2,PM,4
346,3,1,IOS dev,3
347,3,2,Frontend dev,2
348,3,2,UI designer,1
349,3,3,Frontend dev,4
350,4,2,Android dev,4
351,4,4,Backend dev,4
352,2,2,Frontend dev,1
353,2,2,UI designer,4
354,3,1,IOS dev,3
355,2,1,QA,2
356,3,4,QA,4
357,3,1,Mobile,3
358,3,1,Android dev,4
359,3,3,QA,3
360,3,1,UI designer,2
361,4,1,Mobile,1
362,2,3,Frontend dev,1
363,2,2,Mobile,1
364,3,3,UX designer,4
365,3,4,Mobile,4
366,3,5,PM,4
367,4,4,IOS dev,4
368,3,2,UX designer,1
369,1,1,IOS dev,3
370,3,2,Frontend dev,4
371,3,4,Backend dev,3
372,3,1,PM,4
373,2,1,Backend dev,4
374,3,1,Mobile,4
375,2,2,Mobile,4
376,2,2,UI designer,1
377,3,1,UX designer,1
378,2,1,Mobile,3
379,4,1,UX designer,2
380,3,1,UI designer,4
381,3,4,PM,1
382,3,2,UI designer,1
383,3,2,UI designer,4
384,2,1,UI designer,2
385,4,1,UI designer,2
386,3,2,Frontend dev,4
387,3,3,Android dev,4
388,3,3,UI designer,3
389,2,1,IOS dev,4
390,4,3,UI designer,2
391,1,3,IOS dev,4
392,4,1,Android dev,4
393,3,1,Mobile,4
394,3,3,Android dev,4
395,3,2,Frontend dev,2
396,3,1,UI designer,1
397,2,3,UX designer,4
398,3,2,Mobile,2
399,2,1,PM,4
400,4,4,UX designer,4
401,3,2,Backend dev,1
402,3,1,QA,4
403,3,1,UI designer,4
404,3,2,Backend dev,2
405,1,2,UI designer,3
406,3,2,Frontend dev,4
407,3,1,Mobile,4
408,3,2,IOS dev,4
409,3,1,IOS dev,3
410,4,2,UI designer,4
411,3,3,Mobile,3
412,3,4,UX designer,1
413,3,1,QA,3
414,3,2,UI designer,2
415,2,2,Backend dev,3
416,3,1,QA,1
417,3,1,Frontend dev,2
418,3,1,QA,3
419,3,3,IOS dev,4
420,2,2,UI designer,2
421,3,1,QA,3
422,3,2,UX designer,3
423,2,1,PM,4
424,3,2,IOS dev,1
425,2,1,UI designer,2
426,2,1,PM,2
427,3,2,PM,2
428,2,2,UX designer,1
429,3,1,UI designer,1
430,1,2,IOS dev,3
431,3,2,Mobile,2
432,3,3,UI designer,1
433,3,4,Backend dev,4
434,2,1,Mobile,2
435,3,4,IOS dev,1
436,3,3,QA,4
437,3,4,Backend dev,4
438,2,3,PM,3
439,3,2,UI designer,2
440,3,1,UX designer,4
441,2,3,QA,3
442,3,1,UI designer,4
443,1,4,Frontend dev,3
444,3,1,UX designer,3
445,2,1,Backend dev,3
446,3,2,Backend dev,4
447,1,2,Frontend dev,4
448,2,2,Mobile,3
449,3,1,PM,2
450,3,3,Backend dev,3
451,3,2,Android dev,4
452,3,2,Frontend dev,1
453,3,4,Frontend dev,3
454,2,1,Android dev,1
455,3,2,UX designer,4
456,3,3,Backend dev,4
457,2,1,Android dev,4
458,2,2,IOS dev,2
459,3,1,UI designer,3
460,3,2,Mobile,2
461,4,1,Backend dev,1
462,3,2,Android dev,4
463,2,2,Frontend dev,3
464,3,2,UX designer,3
465,2,1,UI designer,3
466,3,3,IOS dev,3
467,3,1,UX designer,3
468,2,3,IOS dev,2
469,3,2,IOS dev,1
470,3,2,UI designer,4
471,3,1,Android dev,3
472,3,1,UI designer,3
473,2,5,IOS dev,1
474,3,2,QA,1
475,3,1,UX designer,2
476,3,2,UX designer,4
477,3,2,IOS dev,1
478,3,2,Android dev,3
479,3,1,UI designer,3
480,3,2,Android dev,3
481,4,3,QA,4
482,3,2,UI designer,4
483,3,5,QA,4
484,4,1,Frontend dev,3
485,4,2,Backend dev,4
486,2,5,Mobile,4
487,4,2,QA,2
488,2,2,UX designer,2
489,3,2,IOS dev,3
490,4,1,Frontend dev,4
491,2,1,IOS dev,1
492,4,4,Android dev,4
493,3,1,Android dev,4
494,2,1,UI designer,3
495,3,4,Backend dev,1
496,4,1,Mobile,1
497,3,5,Mobile,4
498,2,1,PM,4
499,1,2,PM,3
500,2,2,Android dev,4
501,3,2,Frontend dev,4
502,3,2,Android dev,2
503,4,2,Frontend dev,2
504,3,1,PM,3
505,3,2,Android dev,1
506,2,1,Backend dev,3
507,4,2,Android dev,2
508,1,2,QA,3
509,3,1,UX designer,3
510,3,1,Android dev,2
511,3,5,PM,1
512,2,2,Backend dev,3
513,2,3,PM,4
514,3,2,IOS dev,3
515,3,2,QA,3
516,3,2,UX designer,4
517,2,2,UI designer,1
518,2,3,UI designer,4
519,2,3,PM,4
520,3,1,PM,1
521,3,3,Android dev,1
522,3,2,UI designer,3
523,2,4,Mobile,1
524,1,2,Android dev,1
525,3,1,IOS dev,1
526,4,1,Android dev,3
527,3,1,UX designer,3
528,3,1,IOS dev,4
529,2,2,PM,3
530,3,3,Backend dev,2
531,4,2,UI designer,3
532,3,2,UX designer,1
533,3,4,Frontend dev,4
534,2,3,PM,1
535,3,1,UI designer,3
536,3,2,Android dev,3
537,3,1,PM,4
538,2,4,Mobile,4
539,2,2,IOS dev,4
540,4,2,Mobile,3
541,3,4,IOS dev,2
542,2,4,QA,1
543,3,2,Mobile,2
544,3,2,UI designer,3
545,2,2,Android dev,2
546,3,2,Mobile,4
547,3,2,Mobile,4
548,3,2,IOS dev,3
549,3,1,Android dev,2
550,2,1,UX designer,3
551,4,4,Backend dev,4
552,3,4,IOS dev,2
553,3,3,UI designer,3
554,3,1,UI designer,2
555,3,2,Android dev,1
556,3,2,IOS dev,4
557,3,1,UI designer,3
558,2,1,QA,2
559,3,1,UX designer,2
560,4,3,UI designer,4
561,3,1,Backend dev,4
562,3,1,UX designer,2
563,3,1,Backend dev,4
564,2,1,QA,2
565,2,2,UX designer,3
566,1,3,Backend dev,2
567,4,1,PM,4
568,1,2,IOS dev,4
569,2,1,Backend dev,3
570,3,1,QA,3
571,4,3,QA,3
572,2,1,Backend dev,1
573,3,2,Mobile,4
574,4,1,PM,3
575,3,3,UI designer,4
576,3,1,Backend dev,3
577,3,2,Android dev,3
578,2,3,PM,3
579,1,1,UI designer,1
580,1,4,IOS dev,3
581,1,1,UX designer,1
582,2,4,PM,1
583,3,1,Backend dev,3
584,3,1,UI designer,2
585,1,2,IOS dev,4
586,3,2,Mobile,4
587,3,1,IOS dev,NA
588,3,2,Mobile,4
589,3,2,QA,2
590,3,1,UI designer,1
591,3,2,Android dev,4
592,3,3,UX designer,3
593,2,2,Android dev,1
594,1,2,Frontend dev,1
595,3,1,Mobile,4
596,3,2,Frontend dev,1
597,3,2,UX designer,3
598,1,3,Mobile,4
599,3,5,Frontend dev,3
600,1,3,UX designer,3
601,2,1,Frontend dev,3
602,3,1,QA,4
603,2,1,QA,4
604,3,2,Android dev,1
605,3,1,Android dev,3
606,1,1,Backend dev,3
607,4,2,PM,1
608,2,3,QA,1
609,4,1,Frontend dev,2
610,3,2,UI designer,1
611,3,2,Frontend dev,1
612,3,3,UX designer,2
613,2,1,UX designer,1
614,3,3,UI designer,2
615,2,1,UI designer,3
616,4,2,QA,3
617,3,1,UX designer,3
618,1,2,IOS dev,4
619,2,1,Android dev,4
620,3,1,Android dev,4
621,2,5,UI designer,1
622,3,2,Backend dev,4
623,3,1,UX designer,2
624,3,2,PM,3
625,2,4,UI designer,1
626,3,1,QA,4
627,1,2,Frontend dev,2
628,3,1,IOS dev,4
629,2,1,PM,2
630,3,1,IOS dev,1
631,2,2,Frontend dev,4
632,3,3,UI designer,1
633,2,2,Frontend dev,3
634,3,5,Frontend dev,4
635,3,3,Android dev,2
636,3,1,Android dev,4
637,3,2,Backend dev,4
638,3,2,QA,1
639,4,1,UX designer,1
640,3,1,IOS dev,4
641,3,3,UI designer,4
642,2,2,UI designer,3
643,3,1,Frontend dev,2
644,4,2,Backend dev,2
645,3,2,IOS dev,3
646,3,1,Android dev,4
647,3,2,UX designer,4
648,3,2,UI designer,4
649,3,2,Mobile,3
650,3,1,Mobile,2
651,4,2,UX designer,3
652,3,3,Mobile,4
653,3,3,Backend dev,3
654,3,1,QA,4
655,3,2,PM,4
656,3,2,Android dev,2
657,4,2,PM,2
658,3,4,IOS dev,3
659,1,1,UI designer,2
660,2,3,Backend dev,1
661,3,2,Mobile,2
662,3,2,Android dev,4
663,3,3,QA,2
664,3,1,PM,3
665,1,2,IOS dev,1
666,3,2,Mobile,2
667,3,4,Mobile,3
668,3,1,PM,2
669,4,1,Android dev,4
670,2,1,PM,2
671,3,2,Mobile,4
672,3,2,Backend dev,4
673,3,2,QA,3
674,3,1,Backend dev,3
675,3,1,IOS dev,3
676,3,2,QA,1
677,3,1,IOS dev,2
678,3,1,Backend dev,4
679,3,3,PM,2
680,3,1,Frontend dev,2
681,1,2,UI designer,3
682,3,1,Android dev,3
683,2,2,PM,1
684,4,4,IOS dev,4
685,2,2,PM,3
686,2,1,Frontend dev,1
687,2,5,PM,4
688,2,5,Frontend dev,1
689,2,1,IOS dev,2
690,3,3,Frontend dev,2
691,2,1,IOS dev,1
692,3,2,Frontend dev,3
693,2,1,PM,3
694,3,1,Frontend dev,2
695,3,1,UI designer,2
696,3,1,UI designer,1
697,2,2,UI designer,3
698,3,2,UI designer,3
699,3,3,UI designer,2
700,3,1,Mobile,3
701,3,2,UI designer,4
702,2,2,Mobile,4
703,2,2,QA,1
704,2,2,QA,3
705,3,4,UI designer,2
706,2,1,QA,1
707,4,2,Backend dev,1
708,3,4,Backend dev,4
709,4,2,UI designer,1
710,1,1,PM,2
711,3,1,Frontend dev,1
712,2,2,QA,4
713,3,2,Frontend dev,4
714,3,3,Mobile,2
715,3,2,UI designer,4
716,2,2,Frontend dev,4
717,4,1,UI designer,4
718,4,1,UI designer,3
719,3,2,UI designer,2
720,3,2,Mobile,3
721,2,2,Mobile,3
722,4,1,QA,3
723,1,2,UI designer,4
724,3,1,Frontend dev,3
725,2,2,Mobile,3
726,3,2,UI designer,4
727,3,2,UX designer,1
728,2,2,Backend dev,3
729,3,2,UX designer,4
730,2,2,Backend dev,2
731,3,4,Frontend dev,4
732,4,1,QA,3
733,3,1,Backend dev,4
734,3,5,Backend dev,2
735,3,2,UI designer,3
736,2,1,UI designer,3
737,3,2,IOS dev,3
738,3,1,Backend dev,3
739,3,1,UX designer,4
740,4,1,PM,3
741,3,3,UI designer,4
742,3,3,UI designer,1
743,3,1,PM,1
744,3,2,Android dev,3
745,3,2,Android dev,4
746,1,2,PM,4
747,2,1,QA,1
748,2,1,UI designer,1
749,3,2,Mobile,1
750,3,2,Frontend dev,4
751,2,2,Android dev,4
752,3,2,QA,1
753,3,3,UX designer,4
754,3,2,PM,2
755,3,2,Backend dev,3
756,3,3,UX designer,1
757,3,1,UI designer,2
758,4,5,PM,1
759,1,1,Backend dev,2
760,3,4,UX designer,1
761,2,2,Mobile,4
762,3,3,Backend dev,1
763,3,2,UX designer,4
764,2,2,Mobile,1
765,3,1,QA,3
766,3,2,Mobile,1
767,3,2,Android dev,3
768,3,1,IOS dev,3
769,3,1,Backend dev,4
770,3,1,Frontend dev,2
771,3,3,PM,3
772,2,1,Frontend dev,3
773,3,2,Android dev,4
774,3,1,Mobile,4
775,2,2,PM,1
776,3,2,IOS dev,2
777,3,1,QA,1
778,3,3,IOS dev,2
779,3,1,PM,4
780,3,1,Backend dev,4
781,3,2,Android dev,1
782,3,2,IOS dev,3
783,2,1,IOS dev,2
784,3,1,UI designer,1
785,2,1,UI designer,3
786,3,2,Frontend dev,2
787,1,3,PM,3
788,3,3,Mobile,3
789,4,3,PM,2
790,3,2,Android dev,1
791,3,1,Backend dev,1
792,3,1,UI designer,3
793,3,1,UI designer,4
794,3,5,UI designer,3
795,3,1,Frontend dev,3
796,2,3,IOS dev,3
797,3,2,PM,2
798,3,2,UX designer,1
799,3,1,IOS dev,3
800,3,5,UI designer,2
801,3,1,UX designer,2
802,2,4,QA,3
803,2,2,PM,1
804,1,2,Frontend dev,2
805,2,2,UI designer,3
806,3,1,Frontend dev,3
807,3,3,QA,3
808,3,2,IOS dev,3
809,3,2,UI designer,2
810,2,2,Mobile,3
811,3,2,Android dev,1
812,2,1,Backend dev,3
813,3,2,PM,1
814,3,1,Backend dev,1
815,1,1,Android dev,2
816,2,2,PM,2
817,2,1,Android dev,3
818,2,3,UX designer,4
819,2,4,UX designer,4
820,3,2,UI designer,1
821,2,1,Backend dev,1
822,4,2,Backend dev,2
823,2,3,Android dev,2
824,4,2,UI designer,2
825,2,2,Frontend dev,3
826,4,2,UI designer,1
827,3,2,Backend dev,3
828,2,2,IOS dev,3
829,2,1,Backend dev,4
830,3,1,UX designer,3
831,3,1,IOS dev,2
832,3,1,Mobile,4
833,4,1,UI designer,1
834,3,1,Android dev,2
835,2,3,Android dev,4
836,3,2,Mobile,4
837,4,1,Mobile,1
838,2,2,Frontend dev,3
839,3,1,UI designer,4
840,3,1,UI designer,1
841,2,1,IOS dev,4
842,4,3,QA,2
843,4,1,Android dev,3
844,4,1,UI designer,2
845,2,4,Android dev,4
846,3,1,QA,3
847,4,2,Android dev,3
848,2,1,Android dev,1
849,3,3,Android dev,1
850,3,1,Mobile,3
851,3,1,Android dev,1
852,3,5,Android dev,2
853,1,1,UI designer,1
854,3,2,Frontend dev,4
855,2,3,UI designer,2
856,3,5,PM,1
857,3,1,Android dev,1
858,3,2,Mobile,4
859,2,1,UX designer,4
860,3,2,PM,NA
861,3,1,PM,4
862,4,1,PM,2
863,2,1,IOS dev,2
864,3,1,IOS dev,3
865,2,1,UX designer,1
866,4,2,Backend dev,3
867,3,1,Frontend dev,3
868,3,1,PM,4
869,1,1,Mobile,3
870,3,3,PM,3
871,3,2,UX designer,1
872,3,5,Mobile,4
873,3,2,Android dev,3
874,3,1,Android dev,3
875,3,2,PM,1
876,4,1,UX designer,2
877,2,3,Backend dev,4
878,3,1,Android dev,1
879,3,2,Backend dev,2
880,2,3,Mobile,3
881,2,2,Android dev,3
882,3,3,UI designer,4
883,3,3,PM,4
884,3,1,Frontend dev,2
885,3,2,UI designer,1
886,2,2,UX designer,1
887,3,2,Frontend dev,1
888,3,2,QA,3
889,2,5,IOS dev,4
890,3,3,Frontend dev,1
891,3,3,QA,1
892,3,4,Android dev,1
893,2,2,Backend dev,1
894,3,3,UI designer,1
895,3,1,UI designer,4
896,2,1,Android dev,4
897,2,2,QA,3
898,3,1,Android dev,3
899,3,1,Frontend dev,3
900,3,2,PM,3
901,4,1,Frontend dev,3
902,3,2,Mobile,3
903,2,2,QA,4
904,3,3,IOS dev,3
905,3,3,UX designer,1
906,3,2,Android dev,2
907,2,2,UI designer,4
908,2,1,IOS dev,4
909,3,3,UX designer,4
910,1,2,Frontend dev,4
911,3,2,Mobile,4
912,1,3,UI designer,3
913,3,1,Frontend dev,4
914,3,1,QA,1
915,2,2,IOS dev,3
916,2,3,UI designer,1
917,2,4,Frontend dev,3
918,3,2,PM,2
919,2,2,UI designer,2
920,2,3,IOS dev,1
921,3,2,Mobile,3
922,3,3,UI designer,2
923,3,2,Android dev,2
924,3,2,IOS dev,3
925,3,4,Mobile,3
926,3,2,Android dev,1
927,3,1,Mobile,3
928,3,1,UX designer,3
929,2,1,UI designer,4
930,3,2,UX designer,4
931,2,2,PM,2
932,2,5,UI designer,4
933,3,5,PM,2
934,2,2,Android dev,4
935,2,1,Android dev,1
936,3,1,Android dev,2
937,2,3,PM,2
938,1,2,Backend dev,3
939,4,4,UX designer,3
940,3,1,Frontend dev,1
941,2,2,Android dev,4
942,3,3,UX designer,3
943,2,3,Android dev,4
944,3,3,UX designer,3
945,3,1,UI designer,3
946,3,4,IOS dev,4
947,1,1,Backend dev,3
948,3,2,IOS dev,2
949,3,1,QA,4
950,3,5,UX designer,2
951,1,2,UI designer,4
952,2,1,UI designer,4
953,3,3,UX designer,2
954,3,1,Frontend dev,4
955,3,1,IOS dev,4
956,3,2,Backend dev,4
957,4,1,Frontend dev,4
958,3,3,Frontend dev,4
959,1,2,PM,4
960,3,3,Frontend dev,3
961,3,1,PM,3
962,3,2,Android dev,3
963,1,3,UI designer,4
964,2,2,UI designer,3
965,2,2,Mobile,3
966,3,2,Frontend dev,3
967,3,1,UX designer,3
968,3,1,Backend dev,2
969,3,2,UI designer,3
970,3,1,QA,3
971,1,2,QA,2
972,3,1,Frontend dev,1
973,2,1,IOS dev,1
974,2,4,QA,2
975,3,1,UX designer,3
976,3,1,Backend dev,4
977,3,2,UI designer,2
978,3,3,Android dev,4
979,3,2,UI designer,1
980,3,2,Frontend dev,2
981,3,3,QA,2
982,3,2,PM,4
983,2,2,Mobile,4
984,2,1,UI designer,3
985,2,3,UX designer,2
986,3,1,Mobile,3
987,3,1,Frontend dev,1
988,3,1,Frontend dev,4
989,3,1,PM,4
990,4,3,Android dev,3
991,2,1,Backend dev,4
992,3,5,QA,2
993,3,1,Backend dev,3
994,3,3,Backend dev,1
995,2,2,UI designer,4
996,3,1,PM,2
997,3,1,QA,4
998,1,1,Mobile,1
999,3,1,PM,2
1000,3,2,QA,3
1001,3,2,Backend dev,1
1002,3,1,UI designer,3
1003,3,1,Frontend dev,2
1004,2,1,Backend dev,4
1005,3,3,IOS dev,3
1006,3,1,PM,2
1007,3,1,QA,1
1008,3,1,UI designer,2
1009,3,1,UX designer,1
1010,2,1,Mobile,3
1011,4,2,QA,3
1012,3,1,PM,4
1013,3,5,Mobile,4
1014,4,5,QA,2
1015,2,2,Android dev,3
1016,3,4,Android dev,1
1017,2,5,Frontend dev,4
1018,3,1,Frontend dev,3
1019,2,2,UI designer,2
1020,4,1,IOS dev,4
1021,2,4,Frontend dev,1
1022,4,1,UI designer,2
1023,3,2,QA,2
1024,3,2,Android dev,4
1025,3,2,QA,1
1026,3,2,Frontend dev,4
1027,2,2,Frontend dev,3
1028,3,2,QA,2
1029,3,1,UI designer,1
1030,3,2,Backend dev,1
1031,3,2,IOS dev,4
1032,3,3,UI designer,2
1033,4,1,UI designer,1
1034,3,1,Frontend dev,1
1035,2,2,QA,4
1036,3,3,UI designer,3
1037,1,3,UI designer,2
1038,2,3,UI designer,3
1039,3,2,UI designer,3
1040,2,3,PM,2
1041,3,1,QA,2
1042,3,3,Android dev,4
1043,2,2,QA,3
1044,3,1,UX designer,2
1045,2,3,QA,3
1046,3,2,Android dev,2
1047,3,2,UX designer,1
1048,2,1,Frontend dev,4
1049,3,3,QA,1
1050,3,3,UI designer,1
1051,1,2,UI designer,4
1052,2,1,UI designer,4
1053,3,1,Android dev,3
1054,3,3,Frontend dev,3
1055,3,3,PM,1
1056,2,1,UI designer,1
1057,2,1,Mobile,3
1058,3,5,Android dev,2
1059,3,1,Backend dev,4
1060,3,5,Backend dev,4
