employeeID ,jobID ,performanceRating ,spentTime ,standardHours ,totalWorkingYears ,inTime,outTime 
657,3273,3,17:55:00,8,10,2020-12-02 10:13:11,2020-12-02 15:53:04
2719,712,3,18:35:00,8,5,2020-12-02 10:01:09,2020-12-02 16:10:03
786,360,3,19:20:00,8,5,2020-12-02 09:56:10,2020-12-02 16:25:48
2057,2903,3,22:20:00,8,22,2020-12-02 09:15:24,2020-12-02 20:33:12
3237,3786,3,23:20:00,8,10,NA,2020-12-02 19:18:24
2846,4122,3,23:40:00,8,2,2020-12-02 10:02:58,2020-12-02 15:46:48
1936,152,3,04:00:00,8,8,2020-12-02 10:14:01,2020-12-02 16:23:16
965,4385,3,10:00:00,8,4,2020-12-02 10:05:04,2020-12-02 17:51:54
5056,2098,3,10:20:00,8,23,2020-12-02 09:41:06,2020-12-02 17:20:00
2303,1964,3,10:25:00,8,0,2020-12-02 09:54:59,2020-12-02 16:53:01
1599,3425,3,10:40:00,8,12,2020-12-02 09:32:59,2020-12-02 17:13:42
5312,2053,3,11:00:00,8,4,2020-12-02 10:19:36,2020-12-02 16:47:48
1674,3866,3,11:10:00,8,13,2020-12-02 09:53:34,2020-12-02 17:25:56
5604,5515,3,13:10:00,8,22,2020-12-02 09:38:04,2020-12-02 17:30:31
5460,3785,3,15:00:00,8,0,2020-12-02 10:16:56,2020-12-02 17:41:59
158,1037,4,16:15:00,8,9,2020-12-02 09:57:37,2020-12-02 18:44:31
4269,5569,3,17:30:00,8,10,2020-12-02 10:02:54,2020-12-02 16:43:31
4391,385,4,17:45:00,8,19,2020-12-02 09:54:21,2020-12-02 16:33:53
424,771,4,18:10:00,8,11,2020-12-02 10:02:10,2020-12-02 20:53:55
5292,1982,4,18:35:00,8,13,2020-12-02 10:18:34,2020-12-02 17:35:36
1489,345,3,23:00:00,8,19,2020-12-02 09:35:49,2020-12-02 17:52:05
1478,3686,3,23:15:00,8,12,2020-12-02 10:00:56,2020-12-02 18:30:54
1373,4513,3,04:00:00,8,6,2020-12-02 09:40:05,2020-12-02 17:00:45
3180,381,4,05:00:00,8,9,NA,2020-12-02 19:57:10
3236,3339,3,05:30:00,8,24,2020-12-02 10:17:17,2020-12-02 18:01:33
1108,1196,3,05:45:00,8,3,2020-12-02 10:36:53,2020-12-02 19:29:10
4862,3343,3,13:00:00,8,12,2020-12-02 09:53:46,2020-12-02 17:19:12
5023,1608,4,13:03:00,8,21,2020-12-02 10:06:37,2020-12-02 20:22:45
2634,3017,3,13:18:00,8,9,2020-12-02 09:36:10,2020-12-02 20:00:58
264,625,4,13:33:00,8,25,2020-12-02 10:15:20,2020-12-02 16:47:41
357,3060,3,13:55:00,8,11,2020-12-02 09:38:52,2020-12-02 17:12:07
2358,3136,4,14:00:00,8,4,2020-12-02 09:20:01,2020-12-02 20:20:21
854,3256,3,15:00:00,8,13,2020-12-02 09:48:59,2020-12-02 16:32:27
268,6,3,15:05:00,8,5,NA,2020-12-02 16:58:49
240,2144,3,15:35:00,8,13,2020-12-02 10:00:38,2020-12-02 15:43:49
1481,931,3,15:40:00,8,10,2020-12-02 10:14:17,2020-12-02 19:54:51
2911,2946,3,16:00:00,8,5,2020-12-02 09:23:35,2020-12-02 16:57:26
5436,5613,3,16:05:00,8,11,2020-12-02 09:48:22,2020-12-02 16:09:43
4105,4960,3,17:00:00,8,10,2020-12-02 10:08:59,2020-12-02 16:30:39
4487,3894,3,18:10:00,8,21,2020-12-02 09:59:30,2020-12-02 19:57:42
4551,591,3,18:20:00,8,12,2020-12-02 09:40:20,2020-12-02 15:35:26
2276,3190,3,19:45:00,8,9,2020-12-02 09:52:53,2020-12-02 17:18:59
2406,3453,4,20:00:00,8,21,2020-12-02 09:42:59,2020-12-02 17:10:19
1215,1443,3,21:00:00,8,9,2020-12-02 09:50:28,2020-12-02 19:39:21
187,784,3,21:15:00,8,6,2020-12-02 10:11:30,2020-12-02 21:01:35
486,3875,3,22:15:00,8,20,2020-12-02 09:53:57,2020-12-02 16:23:13
2010,3754,4,22:30:00,8,10,2020-12-02 09:43:30,2020-12-02 17:41:43
2347,5410,3,22:35:00,8,12,2020-12-02 10:11:57,2020-12-02 16:15:51
1388,3941,3,04:00:00,8,6,2020-12-02 10:13:45,2020-12-02 16:22:06
5122,4515,3,08:10:00,8,7,2020-12-02 09:18:25,2020-12-02 18:54:26
2851,464,4,08:55:00,8,4,2020-12-02 10:00:52,2020-12-02 20:17:07
2922,2241,3,09:25:00,8,10,2020-12-02 09:39:44,2020-12-02 18:03:53
5114,3440,3,10:05:00,8,8,2020-12-02 10:03:33,2020-12-02 17:40:00
1018,1356,3,10:35:00,8,8,2020-12-02 10:12:05,2020-12-02 16:41:22
2700,3151,3,11:35:00,8,12,2020-12-02 10:18:40,2020-12-02 20:46:41
5281,4067,3,12:10:00,8,11,2020-12-02 09:55:03,2020-12-02 17:24:29
4183,1848,3,12:25:00,8,7,2020-12-02 09:48:16,2020-12-02 15:42:44
5556,2963,3,12:45:00,8,17,2020-12-02 09:46:27,2020-12-02 16:44:03
4620,1169,4,13:05:00,8,4,2020-12-02 09:37:41,2020-12-02 17:19:21
4247,1215,3,13:45:00,8,8,2020-12-02 09:57:45,2020-12-02 16:52:12
4177,2377,3,15:10:00,8,5,2020-12-02 10:09:51,2020-12-02 20:30:35
1803,2270,4,15:15:00,8,16,2020-12-02 09:25:53,2020-12-02 20:14:44
3387,2195,4,15:35:00,8,4,2020-12-02 09:47:14,2020-12-02 16:17:35
3751,5559,3,15:50:00,8,4,2020-12-02 10:06:58,2020-12-02 16:31:40
1590,1225,3,16:05:00,8,8,NA,2020-12-02 17:45:46
4569,1347,3,16:10:00,8,15,2020-12-02 09:59:27,2020-12-02 16:45:41
2383,2710,3,16:15:00,8,13,2020-12-02 09:49:53,2020-12-02 17:13:32
1461,4970,4,17:10:00,8,4,2020-12-02 09:26:46,2020-12-02 15:51:25
3342,2010,3,17:40:00,8,8,2020-12-02 10:08:21,2020-12-02 17:24:07
4606,503,3,18:25:00,8,14,2020-12-02 10:06:51,2020-12-02 20:25:20
5359,2624,3,18:45:00,8,3,2020-12-02 10:09:22,2020-12-02 17:49:46
2889,3359,4,19:00:00,8,7,2020-12-02 09:55:23,2020-12-02 15:48:38
2238,203,3,20:00:00,8,16,2020-12-02 09:29:52,2020-12-02 17:21:54
777,4431,3,20:20:00,8,15,2020-12-02 10:05:59,2020-12-02 19:18:09
1847,2348,3,20:50:00,8,10,2020-12-02 09:50:46,2020-12-02 20:56:39
521,2034,3,21:20:00,8,3,2020-12-02 09:17:53,2020-12-02 15:48:03
1256,711,4,22:20:00,8,1,NA,2020-12-02 18:15:31
3722,5241,3,04:00:00,8,17,2020-12-02 09:56:07,2020-12-02 17:43:58
3600,1377,3,06:21:00,8,7,2020-12-02 09:53:33,2020-12-02 16:04:20
5196,3973,3,06:45:00,8,8,2020-12-02 09:47:56,2020-12-02 17:26:43
2178,1056,3,07:00:00,8,20,2020-12-02 10:00:15,2020-12-02 17:39:31
2552,1695,4,07:02:00,8,8,NA,2020-12-02 15:59:44
1984,2729,4,07:04:00,8,3,2020-12-02 10:13:11,2020-12-02 19:20:08
3583,2505,3,07:06:00,8,1,2020-12-02 10:11:11,2020-12-02 17:58:14
4512,4548,3,09:00:00,8,6,2020-12-02 10:00:33,2020-12-02 19:27:16
2999,907,3,09:15:00,8,10,2020-12-02 10:47:49,2020-12-02 17:05:10
4744,2345,3,10:00:00,8,5,2020-12-02 10:12:28,2020-12-02 17:15:26
4917,3416,3,15:00:00,8,7,2020-12-02 09:33:14,2020-12-02 16:03:17
3842,3361,3,15:20:00,8,26,2020-12-02 10:15:13,2020-12-02 16:14:07
302,2465,4,15:50:00,8,18,2020-12-02 09:49:48,2020-12-02 18:31:52
864,5432,3,17:30:00,8,6,NA,2020-12-02 16:30:24
4908,4275,4,17:45:00,8,9,2020-12-02 10:08:00,2020-12-02 17:44:51
275,4255,3,18:00:00,8,30,2020-12-02 09:53:55,2020-12-02 20:13:24
398,1163,3,18:20:00,8,5,2020-12-02 09:44:23,2020-12-02 17:34:18
1309,2886,3,19:00:00,8,1,2020-12-02 09:50:11,2020-12-02 16:12:48
1932,3945,3,19:05:00,8,7,2020-12-02 10:16:57,2020-12-02 15:55:14
5447,1542,3,20:05:00,8,2,2020-12-02 09:42:43,2020-12-02 15:47:10
483,4916,3,20:12:00,8,10,2020-12-02 10:08:26,2020-12-02 17:46:11
232,5029,3,21:00:00,8,3,2020-12-02 10:11:11,2020-12-02 19:11:21
699,3837,3,21:18:00,8,18,2020-12-02 10:06:07,2020-12-02 20:14:53
3303,2341,3,21:20:00,8,8,2020-12-02 09:48:28,2020-12-02 20:07:20
2800,4618,3,21:30:00,8,8,NA,2020-12-02 19:53:03
2487,3742,3,04:00:00,8,18,2020-12-02 10:17:07,2020-12-02 17:48:35
313,5301,3,05:00:00,8,25,2020-12-02 09:52:56,2020-12-02 16:55:03
861,1863,3,06:20:00,8,20,NA,2020-12-02 16:15:25
466,1953,4,06:45:00,8,24,2020-12-02 09:50:35,2020-12-02 15:55:36
1810,3921,4,06:55:00,8,6,2020-12-02 10:14:40,2020-12-02 16:19:00
924,3585,3,11:15:00,8,13,2020-12-02 09:36:59,2020-12-02 19:08:50
3271,1099,3,11:45:00,8,NA,2020-12-02 09:59:05,2020-12-02 16:58:23
2270,5220,3,12:15:00,8,8,2020-12-02 10:13:15,2020-12-02 16:43:04
1587,3796,3,15:30:00,8,5,2020-12-02 10:13:37,2020-12-02 16:45:29
1826,1968,4,15:55:00,8,15,2020-12-02 09:35:39,2020-12-02 16:39:58
435,3229,3,16:10:00,8,4,2020-12-02 09:48:45,2020-12-02 16:33:15
1177,495,4,17:10:00,8,21,NA,2020-12-02 17:29:58
1729,2650,3,17:15:00,8,36,2020-12-02 10:27:11,2020-12-02 16:05:08
3187,5048,3,19:15:00,8,6,2020-12-02 10:03:41,2020-12-02 20:01:49
4427,4928,3,20:30:00,8,10,2020-12-02 09:49:27,2020-12-02 16:26:04
3419,2303,3,21:00:00,8,10,2020-12-02 09:47:14,2020-12-02 16:04:06
5399,1728,3,21:05:00,8,6,2020-12-02 09:47:02,2020-12-02 17:24:19
1635,7,4,21:35:00,8,28,2020-12-02 09:58:09,2020-12-02 17:54:16
3988,3574,3,04:00:00,8,8,2020-12-02 09:52:00,2020-12-02 16:37:03
1516,3331,3,08:00:00,8,31,2020-12-02 09:59:14,2020-12-02 17:28:01
1533,3263,3,09:00:00,8,19,2020-12-02 10:01:04,2020-12-02 16:29:23
2853,1282,4,10:00:00,8,11,2020-12-02 09:58:47,2020-12-02 16:41:47
4521,672,3,10:20:00,8,33,2020-12-02 09:42:56,2020-12-02 16:45:57
3265,2137,3,11:20:00,8,19,2020-12-02 10:17:26,2020-12-02 16:20:05
4185,3451,3,11:35:00,8,7,2020-12-02 10:13:48,2020-12-02 17:52:50
304,1652,3,12:05:00,8,6,2020-12-02 09:29:22,2020-12-02 17:11:53
5457,5439,4,12:10:00,8,3,2020-12-02 09:36:35,2020-12-02 15:59:25
4171,1748,3,13:10:00,8,1,2020-12-02 10:30:26,2020-12-02 16:27:01
3587,1880,3,13:15:00,8,21,NA,2020-12-02 18:11:13
1843,4966,4,14:15:00,8,3,NA,2020-12-02 17:05:35
3972,812,3,14:20:00,8,9,2020-12-02 09:31:36,2020-12-02 19:18:18
553,5367,3,14:40:00,8,10,2020-12-02 09:34:13,2020-12-02 18:15:52
4336,2966,3,16:40:00,8,6,2020-12-02 10:11:47,2020-12-02 16:59:21
1199,3771,3,17:40:00,8,1,2020-12-02 10:02:49,2020-12-02 17:04:37
2966,4375,3,18:10:00,8,10,2020-12-02 09:59:00,2020-12-02 18:45:51
3622,2482,3,18:40:00,8,32,2020-12-02 09:58:45,2020-12-02 16:47:03
3766,2696,3,20:40:00,8,28,2020-12-02 10:15:58,2020-12-02 20:59:56
2113,2546,4,21:00:00,8,12,2020-12-02 09:48:00,2020-12-02 18:22:30
1396,5405,4,21:15:00,8,22,2020-12-02 10:01:29,2020-12-02 17:00:49
1429,57,3,04:00:00,8,20,2020-12-02 10:21:23,2020-12-02 16:29:52
1169,5013,4,07:00:00,8,26,2020-12-02 09:32:10,2020-12-02 16:11:39
502,709,3,07:20:00,8,6,2020-12-02 09:47:44,2020-12-02 16:51:42
3126,1346,3,07:22:00,8,19,2020-12-02 09:56:38,2020-12-02 15:13:27
2945,763,3,07:25:00,8,14,2020-12-02 10:30:23,2020-12-02 15:54:46
1452,740,3,07:27:00,8,15,2020-12-02 10:06:57,2020-12-02 17:23:47
5224,85,3,07:30:00,8,13,2020-12-02 09:51:07,2020-12-02 17:32:06
2048,4680,4,07:33:00,8,15,NA,2020-12-02 18:29:00
5338,135,4,08:18:00,8,8,2020-12-02 10:03:14,2020-12-02 20:52:23
4142,3147,3,08:38:00,8,4,2020-12-02 10:00:46,2020-12-02 18:00:34
896,5610,4,08:39:00,8,10,2020-12-02 10:15:02,2020-12-02 19:12:45
4545,5145,3,08:59:00,8,12,2020-12-02 09:45:15,2020-12-02 17:48:13
1318,3683,4,09:00:00,8,11,2020-12-02 10:00:53,2020-12-02 17:43:08
5601,4814,3,09:15:00,8,8,2020-12-02 09:57:37,2020-12-02 16:01:17
1049,4471,3,09:30:00,8,10,2020-12-02 10:05:07,2020-12-02 19:52:51
5021,852,3,09:50:00,8,4,2020-12-02 09:44:48,2020-12-02 16:34:36
1548,3769,3,10:15:00,8,14,2020-12-02 09:57:44,2020-12-02 18:49:48
161,4464,3,10:25:00,8,37,2020-12-02 09:56:11,2020-12-02 16:59:06
4064,4366,3,10:35:00,8,16,2020-12-02 09:51:53,2020-12-02 16:23:17
2993,4178,3,12:05:00,8,15,2020-12-02 09:42:03,2020-12-02 15:55:01
4198,4918,3,14:35:00,8,22,2020-12-02 09:35:26,2020-12-02 19:12:09
779,287,3,16:05:00,8,8,2020-12-02 10:32:06,2020-12-02 17:18:19
1896,1753,3,16:07:00,8,10,2020-12-02 10:04:48,2020-12-02 15:26:09
104,2235,3,16:09:00,8,10,2020-12-02 09:45:06,2020-12-02 17:28:10
1832,2468,4,16:11:00,8,9,2020-12-02 09:50:40,2020-12-02 16:55:12
5250,4196,3,16:31:00,8,8,2020-12-02 10:19:22,2020-12-02 19:26:23
2263,831,3,16:56:00,8,8,2020-12-02 10:09:35,2020-12-02 16:12:16
4735,5015,3,16:58:00,8,10,2020-12-02 10:14:16,2020-12-02 15:51:42
5290,1106,3,17:03:00,8,10,2020-12-02 10:06:55,2020-12-02 15:52:31
1669,2168,3,17:13:00,8,0,2020-12-02 09:51:51,2020-12-02 17:04:14
1246,2676,3,17:43:00,8,20,2020-12-02 10:05:45,2020-12-02 20:49:21
5551,483,3,18:08:00,8,10,2020-12-02 09:43:25,2020-12-02 19:10:45
4270,4569,3,19:38:00,8,8,2020-12-02 09:33:26,2020-12-02 17:44:08
2938,4265,3,19:48:00,8,5,2020-12-02 10:39:01,2020-12-02 17:05:55
4182,4358,3,20:03:00,8,10,2020-12-02 10:19:42,2020-12-02 16:51:17
1902,4045,4,20:33:00,8,1,2020-12-02 09:37:06,2020-12-02 17:04:36
2893,4316,3,22:30:00,8,12,2020-12-02 10:14:12,2020-12-02 20:52:43
2727,4248,3,22:34:00,8,28,2020-12-02 09:46:51,2020-12-02 16:56:21
2189,1696,3,03:00:00,8,22,2020-12-02 09:32:37,2020-12-02 18:40:24
2101,5449,3,04:00:00,8,9,2020-12-02 09:53:06,2020-12-02 16:24:02
469,2741,3,08:00:00,8,18,2020-12-02 09:33:18,2020-12-02 18:03:07
168,4093,4,09:00:00,8,6,2020-12-02 10:04:49,2020-12-02 16:03:19
1537,2799,3,09:20:00,8,3,2020-12-02 10:13:18,2020-12-02 17:51:09
1953,1220,3,09:32:00,8,18,2020-12-02 09:56:26,2020-12-02 18:41:50
659,2533,3,09:34:00,8,8,2020-12-02 10:00:02,2020-12-02 17:06:56
3226,1395,3,20:40:00,8,31,2020-12-02 09:54:12,2020-12-02 17:43:28
4942,4780,3,20:41:00,8,6,2020-12-02 10:20:21,2020-12-02 18:25:31
2309,2873,3,20:56:00,8,6,2020-12-02 10:19:13,2020-12-02 17:19:14
2365,3312,3,20:57:00,8,1,2020-12-02 10:10:29,2020-12-02 19:08:52
4193,5582,3,21:00:00,8,32,2020-12-02 10:21:34,2020-12-02 16:22:09
4393,2321,3,21:02:00,8,7,2020-12-02 10:12:42,2020-12-02 16:34:17
4413,226,4,21:05:00,8,6,2020-12-02 09:36:52,2020-12-02 19:01:51
1621,1829,3,21:20:00,8,1,2020-12-02 10:05:47,2020-12-02 16:18:48
1778,5479,3,21:24:00,8,6,2020-12-02 10:08:41,2020-12-02 16:43:59
2456,1092,3,21:25:00,8,9,2020-12-02 09:41:08,2020-12-02 18:32:12
654,1877,3,23:25:00,8,9,2020-12-02 09:37:01,2020-12-02 15:57:24
761,2330,3,04:00:00,8,13,2020-12-02 10:19:42,2020-12-02 17:59:34
2386,2055,3,09:00:00,8,6,2020-12-02 10:14:39,2020-12-02 18:58:48
109,2225,3,09:05:00,8,17,2020-12-02 10:04:24,2020-12-02 17:51:47
5605,859,3,09:10:00,8,1,2020-12-02 09:42:29,2020-12-02 17:21:53
2526,3433,3,09:15:00,8,10,2020-12-02 10:03:47,2020-12-02 17:18:30
2809,896,3,09:45:00,8,21,2020-12-02 10:18:34,2020-12-02 17:52:42
2476,5551,3,10:10:00,8,8,2020-12-02 09:51:05,2020-12-02 20:17:38
2026,1263,3,14:30:00,8,10,2020-12-02 10:28:02,2020-12-02 16:07:39
3130,4987,3,14:50:00,8,21,2020-12-02 09:54:00,2020-12-02 16:23:03
1430,5414,4,15:00:00,8,10,2020-12-02 09:40:24,2020-12-02 17:19:27
4181,5227,4,15:15:00,8,8,2020-12-02 09:42:17,2020-12-02 17:12:06
3084,51,3,15:30:00,8,5,2020-12-02 10:09:26,2020-12-02 20:46:41
1563,3244,3,16:40:00,8,3,2020-12-02 09:35:40,2020-12-02 17:25:21
3854,128,3,17:00:00,8,26,2020-12-02 09:43:16,2020-12-02 19:15:00
221,1139,3,17:01:00,8,3,2020-12-02 10:13:32,2020-12-02 19:49:04
2474,680,3,17:31:00,8,6,2020-12-02 09:54:46,2020-12-02 16:44:24
3634,1487,3,17:46:00,8,6,2020-12-02 10:49:22,2020-12-02 16:42:06
4840,4459,3,18:21:00,8,1,2020-12-02 09:35:58,2020-12-02 17:53:24
2913,1622,3,18:41:00,8,18,2020-12-02 09:47:53,2020-12-02 16:16:50
2218,3217,3,18:46:00,8,10,2020-12-02 10:10:13,2020-12-02 18:08:35
4312,508,3,19:06:00,8,5,2020-12-02 09:54:58,2020-12-02 16:29:30
3804,4490,3,19:36:00,8,3,2020-12-02 09:45:54,2020-12-02 18:51:46
2164,2894,3,20:21:00,8,10,2020-12-02 10:02:22,2020-12-02 18:14:46
4044,4441,3,20:31:00,8,6,2020-12-02 09:49:27,2020-12-02 19:51:54
951,2342,3,21:46:00,8,17,2020-12-02 09:57:09,2020-12-02 17:17:13
2931,4748,4,22:16:00,8,15,2020-12-02 10:26:41,2020-12-02 17:41:22
840,2690,3,23:00:00,8,16,2020-12-02 09:51:49,2020-12-02 16:57:28
512,4039,3,23:15:00,8,13,NA,2020-12-02 18:45:34
4387,4483,3,23:25:00,8,5,2020-12-02 10:11:21,2020-12-02 18:08:53
2956,3124,3,04:00:00,8,1,2020-12-02 10:28:36,2020-12-02 17:01:16
4326,1317,3,10:00:00,8,10,2020-12-02 10:27:47,2020-12-02 16:43:58
358,5124,3,10:30:00,8,1,2020-12-02 09:43:21,2020-12-02 18:40:13
3578,2186,3,12:30:00,8,5,2020-12-02 10:06:18,2020-12-02 16:43:52
1518,4752,3,13:30:00,8,4,2020-12-02 09:55:44,2020-12-02 17:11:47
1671,3427,4,13:50:00,8,8,2020-12-02 09:54:57,2020-12-02 16:20:30
2051,437,3,14:35:00,8,10,2020-12-02 09:54:04,2020-12-02 17:00:23
1106,451,3,14:50:00,8,12,2020-12-02 09:55:36,2020-12-02 16:27:50
2323,3214,3,15:30:00,8,6,2020-12-02 09:43:46,2020-12-02 17:01:27
2707,2940,3,15:35:00,8,4,2020-12-02 10:12:55,2020-12-02 18:13:52
577,4640,3,15:37:00,8,20,2020-12-02 10:06:57,2020-12-02 16:05:38
3896,2300,4,15:42:00,8,9,2020-12-02 10:21:41,2020-12-02 19:21:09
3553,4831,3,15:52:00,8,4,2020-12-02 09:50:17,2020-12-02 16:18:00
155,1656,3,15:57:00,8,20,2020-12-02 10:21:32,2020-12-02 18:48:08
2665,1518,3,16:00:00,8,10,2020-12-02 09:56:44,2020-12-02 17:13:16
432,4921,3,16:03:00,8,18,2020-12-02 10:00:55,2020-12-02 15:49:28
3885,1741,3,19:00:00,8,10,2020-12-02 09:39:04,2020-12-02 20:43:29
3679,3861,4,19:10:00,8,9,2020-12-02 10:14:52,2020-12-02 16:49:29
1402,2075,3,21:00:00,8,10,2020-12-02 10:16:13,2020-12-02 15:44:33
3401,3801,3,21:15:00,8,20,NA,2020-12-02 17:50:29
546,1551,3,22:30:00,8,20,NA,2020-12-02 15:42:52
193,344,3,22:35:00,8,32,2020-12-02 09:44:45,2020-12-02 17:32:33
2597,3956,4,22:36:00,8,23,2020-12-02 09:57:10,2020-12-02 18:49:38
2297,4445,4,22:41:00,8,10,2020-12-02 09:51:57,2020-12-02 17:34:19
2401,2474,3,22:56:00,8,9,2020-12-02 09:59:36,2020-12-02 17:22:48
1679,3074,3,23:01:00,8,22,2020-12-02 09:43:05,2020-12-02 17:01:09
5611,4886,4,23:06:00,8,4,2020-12-02 10:17:11,2020-12-02 18:40:05
5244,5272,3,23:11:00,8,10,2020-12-02 09:59:50,2020-12-02 20:51:46
3788,4463,3,23:21:00,8,10,2020-12-02 10:00:48,2020-12-02 15:56:24
1213,3431,3,00:00:00,8,10,2020-12-02 10:00:41,2020-12-02 16:05:00
5278,2795,3,00:10:00,8,9,2020-12-02 09:27:30,2020-12-02 19:48:46
3465,3507,4,00:12:00,8,28,2020-12-02 10:09:40,2020-12-02 17:43:02
5303,176,3,00:22:00,8,10,2020-12-02 10:12:40,2020-12-02 15:35:47
5591,1981,3,00:24:00,8,1,2020-12-02 09:25:16,2020-12-02 18:10:30
4701,2836,4,04:00:00,8,7,2020-12-02 09:45:29,2020-12-02 19:46:38
5260,3437,3,14:00:00,8,7,2020-12-02 10:33:56,2020-12-02 16:54:57
1568,5303,3,19:30:00,8,10,2020-12-02 09:27:49,2020-12-02 17:50:12
513,2693,3,20:30:00,8,5,2020-12-02 09:42:14,2020-12-02 17:23:18
5131,2373,3,21:30:00,8,12,2020-12-02 10:16:41,2020-12-02 17:27:00
3499,5052,3,21:45:00,8,30,2020-12-02 09:50:58,2020-12-02 16:46:41
1297,2039,3,22:05:00,8,5,2020-12-02 10:33:11,2020-12-02 16:43:09
1854,5314,3,22:20:00,8,9,2020-12-02 10:07:42,2020-12-02 16:12:48
3966,3117,3,00:00:00,8,2,2020-12-02 10:14:31,2020-12-02 16:31:15
1126,4081,3,04:00:00,8,19,2020-12-02 10:33:54,2020-12-02 18:43:58
4384,1465,3,08:00:00,8,16,NA,2020-12-02 16:28:54
4570,2273,3,08:10:00,8,10,2020-12-02 10:08:17,2020-12-02 19:05:39
1903,2323,3,08:12:00,8,6,2020-12-02 10:04:36,2020-12-02 21:00:12
874,642,3,08:27:00,8,7,2020-12-02 09:58:08,2020-12-02 17:27:50
978,5104,3,08:57:00,8,34,2020-12-02 10:08:28,2020-12-02 18:12:14
2223,19,3,09:10:00,8,10,2020-12-02 10:15:28,2020-12-02 17:17:18
4015,2706,3,09:50:00,8,6,2020-12-02 10:01:37,2020-12-02 16:30:42
224,958,3,09:55:00,8,9,2020-12-02 10:21:08,2020-12-02 18:25:40
4422,3071,3,14:00:00,8,2,2020-12-02 09:38:05,2020-12-02 17:52:37
3920,5600,3,14:30:00,8,NA,2020-12-02 09:49:19,2020-12-02 17:54:55
5499,2800,3,18:00:00,8,6,2020-12-02 10:01:58,2020-12-02 16:38:43
4471,230,3,18:05:00,8,24,2020-12-02 09:39:21,2020-12-02 15:47:24
1249,3821,3,18:40:00,8,10,2020-12-02 09:43:05,2020-12-02 16:49:31
2713,493,3,19:10:00,8,5,2020-12-02 09:47:22,2020-12-02 20:24:00
2573,3101,3,19:30:00,8,5,2020-12-02 10:09:02,2020-12-02 17:11:33
3450,2968,3,20:00:00,8,11,2020-12-02 09:39:18,2020-12-02 19:03:49
1296,2160,3,20:02:00,8,6,2020-12-02 10:00:23,2020-12-02 17:02:18
1488,1380,3,20:12:00,8,10,2020-12-02 10:05:18,2020-12-02 18:48:40
824,3072,3,20:22:00,8,9,2020-12-02 10:06:58,2020-12-02 18:16:46
3711,670,3,20:52:00,8,5,2020-12-02 09:57:48,2020-12-02 20:04:34
609,2883,3,21:45:00,8,6,2020-12-02 09:48:25,2020-12-02 15:53:24
3944,2429,3,22:00:00,8,17,2020-12-02 09:55:10,2020-12-02 16:47:40
2924,2286,3,22:30:00,8,6,2020-12-02 10:00:17,2020-12-02 17:58:39
