employeeAdditionalInfo,employeeID,education,maritalStatus ,monthlyIncome ,environmentSatisfaction,trainingTimesLastYear
,5242,3,Divorced,21940,4,5
,3570,3,Single,33880,4,2
,5215,3,Married,54730,4,2
,3826,1,Single,27030,4,2
,5012,2,Single,25010,1,3
,3732,5,Single,62200,4,2
,2308,3,Single,30380,4,5
,4136,2,Married,44240,2,2
,2590,4,Single,43120,2,2
,3402,3,Married,132450,3,3
,2968,3,Single,136640,3,6
,3338,3,Single,50210,4,3
,3892,4,Married,51260,4,2
,5676,1,Married,28590,3,2
,760,3,Divorced,102390,2,3
,1769,2,Single,53290,1,3
,4906,1,Divorced,43250,4,2
,5483,3,Married,72600,4,2
,4325,3,Married,23220,4,0
,2228,4,Single,20750,1,0
,373,4,Married,41520,1,3
,1412,3,Single,96190,3,2
,4830,2,Single,135030,1,6
,4500,3,Divorced,54410,4,6
,2286,3,Divorced,52090,3,3
,3584,2,Single,106730,3,2
,4970,1,Divorced,50100,3,3
,759,1,Married,135490,4,3
,1150,5,Single,49990,2,2
,4866,3,Married,42210,2,4
,3340,4,Married,138720,3,3
,4898,4,Married,20420,3,6
,2629,3,Single,20730,4,3
,1149,3,Single,29560,4,6
,773,3,Divorced,29260,4,3
,2792,3,Single,48090,4,2
,104,1,Divorced,51630,4,4
,1723,4,Married,188440,NA,3
,3167,3,Married,181720,4,5
,3251,3,Divorced,57440,2,4
,5454,5,Married,28890,3,2
,3504,2,Single,28710,4,2
,5225,3,Single,74840,3,3
,4368,3,Single,60740,2,2
,3884,1,Single,173280,1,2
,189,3,Single,27740,2,2
,478,3,Single,45050,4,3
,2775,3,Married,74280,4,2
,3830,2,Single,116310,1,2
,5579,4,Married,97380,4,2
,2375,2,Divorced,28350,1,2
,1117,2,Married,169590,2,5
,1990,2,Single,26130,4,2
,2388,4,Single,61460,2,3
,3526,4,Divorced,49630,4,2
,4907,2,Married,195370,3,5
,149,4,Divorced,61720,4,1
,3159,4,Single,23680,1,3
,2442,3,Single,103120,3,2
,5673,4,Married,16750,1,6
,5534,3,Married,25230,4,2
,5290,4,Married,65670,3,3
,531,3,Married,47390,3,2
,3414,4,Divorced,92080,2,2
,3337,3,Married,45590,3,2
,1792,5,Divorced,81890,3,3
,4851,3,Married,29420,4,1
,2663,4,Married,49410,3,3
,5445,4,Married,106500,2,2
,1804,4,Married,59020,3,2
,4806,5,Single,86390,1,3
,4948,4,Married,63470,3,2
,4396,3,Married,42000,3,3
,4929,3,Married,34520,3,3
,3565,3,Single,43170,4,2
,3594,4,Single,26320,4,3
,5248,1,Married,46680,4,2
,2986,4,Single,32040,3,4
,3183,3,Married,27200,3,3
,3111,1,Married,171810,3,2
,5128,3,Single,22380,1,3
,4960,3,Single,14830,3,3
,1268,4,Single,56050,2,2
,4524,2,Married,72950,2,3
,961,3,Divorced,23060,1,5
,5218,4,Single,23480,3,3
,4721,2,Married,89980,3,2
,4466,3,Single,43190,3,3
,1385,2,Married,61320,2,3
,2023,4,Divorced,33460,3,2
,4894,3,Single,108550,3,2
,4112,2,Married,22310,2,3
,1144,5,Married,23230,3,2
,2313,4,Married,20240,3,2
,413,3,Married,27130,4,2
,4817,3,Married,94390,1,0
,3398,5,Single,25660,4,3
,1278,3,Single,199260,1,5
,4952,4,Divorced,24510,1,3
,3925,4,Single,94190,3,5
,576,4,Married,86860,2,2
,427,4,Divorced,30380,2,3
,2835,5,Divorced,30580,2,2
,4821,3,Married,23250,1,1
,403,5,Divorced,20880,4,2
,4022,3,Married,30720,3,4
,2245,1,Married,50060,3,2
,5339,2,Divorced,42570,4,2
,3653,4,Divorced,25000,2,3
,1561,2,Married,11020,4,3
,2918,3,Married,104530,1,2
,3578,4,Single,22880,2,4
,3091,3,Married,39290,1,6
,983,3,Married,23110,3,2
,2680,2,Married,31400,4,2
,716,2,Divorced,36900,4,2
,2273,3,Divorced,44500,4,3
,352,3,Married,27560,3,2
,2848,3,Married,190330,3,5
,5698,5,Married,187220,1,3
,4783,5,Married,95470,2,3
,3502,2,Married,137340,2,3
,332,1,Married,199990,3,6
,1867,3,Married,22790,4,3
,1715,3,Divorced,59160,2,2
,4278,3,Married,20890,1,2
,2917,3,Married,167920,4,3
,3758,4,Married,35640,3,1
,3219,1,Single,44250,4,2
,1641,3,Married,52650,4,4
,2747,4,Married,65530,3,2
,224,5,Single,62610,1,1
,3521,3,Divorced,42980,1,6
,3418,3,Married,68040,4,3
,1827,3,Divorced,38150,4,3
,4423,1,Single,27410,1,5
,2094,4,Divorced,66730,1,2
,1175,2,Married,76390,2,6
,4059,5,Single,23280,1,3
,3655,2,Divorced,21530,4,3
,5674,4,Divorced,48760,1,4
,2853,3,Single,93960,3,6
,5610,3,Single,104000,NA,2
,288,4,Married,84740,3,3
,4620,3,Single,99810,4,3
,419,4,Married,124900,2,3
,4586,3,Divorced,26570,2,3
,4445,3,Divorced,135910,3,2
,1687,4,Married,66960,4,3
,2020,3,Single,20580,2,5
,5118,2,Divorced,88650,2,0
,3130,1,Single,59400,3,2
,2317,3,Single,59140,3,4
,2051,4,Divorced,26220,3,3
,1866,3,Married,121850,2,2
,2452,1,Married,106090,4,3
,2057,2,Married,43450,1,3
,2460,4,Married,21770,4,4
,4095,2,Married,27930,4,4
,1491,4,Single,79180,2,3
,188,3,Married,87890,4,4
,3110,3,Married,23890,3,4
,2006,2,Married,32120,3,3
,223,4,Divorced,192320,1,3
,2896,3,Single,22670,3,2
,3189,4,Single,195170,4,5
,4702,3,Single,24360,3,3
,2068,3,Single,160640,4,3
,5091,3,Single,27070,1,2
,4725,4,Married,190680,4,1
,2222,3,Divorced,39310,4,2
,2391,3,Married,37300,3,4
,3239,3,Married,22320,3,2
,3793,4,Single,44650,2,3
,5106,4,Married,30720,1,3
,4106,1,Married,33190,3,3
,2000,1,Married,192020,3,5
,4903,3,Married,136750,3,5
,771,4,Married,29110,4,3
,1492,2,Single,59570,4,2
,5392,3,Divorced,39200,3,3
,1292,4,Divorced,64340,3,3
,798,3,Single,100480,3,2
,1254,2,Divorced,109380,4,2
,1571,1,Single,23400,1,2
,1644,4,Single,65450,2,2
,851,4,Divorced,69310,3,3
,3332,1,Divorced,48980,1,3
,3196,4,Single,25930,3,2
,4545,3,Single,194360,4,4
,4120,5,Single,27230,4,2
,948,2,Single,34790,2,3
,358,1,Divorced,27940,4,2
,2264,1,Divorced,52490,4,2
,3088,3,Married,21760,3,2
,734,3,Divorced,168720,1,2
,4051,4,Married,34850,3,2
,4114,3,Married,66440,4,3
,4245,4,Single,55820,4,3
,1131,3,Married,40000,1,5
,5413,3,Married,134960,4,3
,116,3,Married,32100,3,5
,5386,3,Divorced,190450,4,2
,3417,3,Divorced,118490,4,3
,1938,3,Divorced,20700,3,1
,5532,2,Married,65020,3,3
,780,4,Single,32300,2,3
,5156,3,Married,136030,3,2
,3390,4,Divorced,119960,3,3
,3797,3,Married,56050,2,0
,334,2,Single,63970,4,3
,5396,4,Single,191440,2,3
,779,3,Married,175840,4,2
,3585,3,Married,49070,2,2
,3119,4,Single,45540,1,3
,3179,3,Single,54150,3,1
,3381,3,Single,47410,4,3
,5276,3,Married,21150,4,3
,1868,3,Married,31610,1,0
,930,3,Divorced,57450,2,4
,5195,4,Married,23730,4,3
,2999,3,Married,33100,1,3
,4833,4,Single,186650,3,3
,3542,3,Married,44850,1,2
,3611,2,Married,27890,3,2
,3860,1,Divorced,58280,2,0
,2690,2,Single,23260,NA,3
,5685,1,Single,135250,2,4
,2487,4,Married,14200,1,2
,3897,3,Married,80200,4,2
,1808,2,Married,36880,4,3
,281,4,Single,54820,3,3
,3571,3,Single,160150,4,3
,2548,2,Single,12000,2,3
,3851,2,Married,56610,4,2
,1104,3,Single,69290,4,6
,4262,4,Divorced,96130,2,5
,1662,3,Married,56740,2,6
,4148,1,Single,54840,2,6
,191,2,Married,120610,3,2
,5462,2,Divorced,56600,1,3
,1281,3,Married,48210,1,2
,5361,2,Married,64100,3,5
,1702,3,Married,52100,4,1
,483,4,Married,26950,3,4
,2961,4,Married,118780,2,2
,3040,3,Single,170680,4,6
,4788,3,Married,24550,3,2
,2614,3,Divorced,139640,1,1
,3633,1,Divorced,49410,4,2
,2314,3,Married,24780,3,0
,3946,2,Married,52280,1,4
,827,2,Single,44780,4,3
,3931,3,Single,75470,3,2
,4300,2,Divorced,50550,3,2
,686,3,Single,34640,4,3
,5143,4,Single,57750,3,2
,1276,3,Divorced,89430,4,6
,4489,3,Married,192720,1,2
,4142,4,Single,52380,2,4
,3493,4,Married,46820,1,3
,1765,3,Married,183000,3,6
,2208,4,Married,52570,2,2
,127,3,Married,63490,3,3
,1328,4,Married,48690,1,2
,5347,3,Married,99850,1,3
,5112,5,Married,36970,4,1
,4750,3,Single,74570,3,1
,3492,4,Married,21190,2,3
,540,4,Divorced,39830,4,3
,1410,4,Single,61180,4,3
,5520,2,Single,62140,1,3
,4442,1,Divorced,63470,1,2
,1130,4,Single,115100,1,5
,683,4,Divorced,71430,4,6
,385,4,Married,82680,4,3
,4893,2,Divorced,80950,1,3
,4164,2,Single,29040,1,2
,3838,1,Married,60320,4,2
,5055,3,Divorced,29760,1,3
,3187,4,Single,159920,4,3
,585,3,Married,46490,4,2
,1202,1,Married,26960,3,3
,4188,1,Single,23700,1,3
,3234,3,Married,125040,2,2
,1721,3,Single,59740,2,6
,2940,2,Divorced,47360,3,3
,2331,3,Divorced,52960,3,3
,714,3,Divorced,67810,4,2
,5192,4,Married,21740,1,3
,3597,4,Single,66530,4,2
,2675,3,Married,96990,3,3
,3935,3,Divorced,67550,1,2
,4259,1,Single,22130,3,4
,185,4,Single,26100,4,3
,2304,3,Single,28510,3,2
,486,3,Single,34520,1,4
,3951,3,Married,52580,3,5
,1719,4,Married,93550,1,4
,285,2,Divorced,104960,4,2
,3057,2,Married,63800,4,1
,510,1,Single,26570,4,3
,3641,4,Divorced,27160,4,2
,4301,2,Single,22010,2,3
,5499,2,Married,65400,2,2
,1235,3,Married,38160,3,2
,4887,4,Divorced,52530,3,2
,3158,4,Single,109650,3,5
,5111,2,Single,49360,1,2
,4978,2,Married,25430,2,3
,4008,3,Married,53040,3,3
,1019,3,Divorced,166590,3,2
,3235,2,Married,42600,4,2
,1062,1,Married,24760,2,2
,901,3,Single,31020,3,3
,3794,3,Married,22440,4,5
,5665,4,Single,75960,2,0
,3003,4,Single,22850,3,3
,267,2,Single,30340,2,3
,1411,3,Married,57150,4,0
,1530,4,Single,25760,4,3
,1222,4,Married,41970,3,3
,1891,4,Married,143360,1,3
,5284,2,Married,34480,3,3
,1127,4,Married,194060,3,2
,3832,5,Divorced,65380,3,3
,2964,2,Single,43060,4,2
,5678,3,Married,22580,4,2
,555,3,Single,45220,1,3
,1930,2,Divorced,44870,3,5
,5058,2,Divorced,44490,4,3
,589,1,Married,22180,2,1
,1247,4,Single,191970,3,2
,1429,3,Married,132120,1,4
,474,4,Married,65770,4,1
,4306,3,Single,83920,1,5
,887,2,Single,45580,3,2
,4057,4,Divorced,40310,4,3
,2455,3,Married,79690,2,3
,3347,4,Married,26540,3,5
,3296,3,Married,165550,3,4
,3254,3,Single,45560,4,4
,3941,4,Married,60910,2,6
,4692,3,Divorced,195660,1,2
,5084,3,Divorced,48100,3,3
,3682,3,Married,45230,2,5
,2513,4,Married,32020,4,2
,1605,3,Married,23510,4,4
,2970,4,Married,17020,4,2
,360,4,Married,180410,3,3
,4811,4,Married,28860,4,5
,5384,2,Married,20970,2,5
,5453,2,Divorced,119350,3,6
,4443,3,Divorced,25460,3,2
,3932,4,Single,25640,4,3
,816,4,Single,84120,3,2
,2123,1,Divorced,141180,4,3
,2048,4,Married,170460,4,3
,982,2,Divorced,25640,2,3
,1704,3,Married,102660,3,3
,2778,3,Single,50700,4,6
,2415,2,Divorced,178610,3,2
,4636,2,Married,42300,1,0
,3863,3,Divorced,37800,2,2
,1940,2,Single,27680,3,0
,4213,3,Married,90710,4,2
,4836,2,Married,106480,1,1
,4410,1,Married,136100,3,4
,2365,3,Married,34080,1,2
,4313,2,Divorced,29830,4,2
,3312,4,Married,76320,1,3
,921,2,Single,98240,1,2
,712,4,Divorced,99500,1,3
,2424,4,Married,20930,4,2
,1250,3,Married,99800,3,1
,1215,1,Single,38940,3,3
,340,4,Single,40510,3,3
,2426,2,Married,168350,3,3
,5446,4,Married,62300,1,2
,4292,2,Married,47170,3,3
,3113,4,Single,132370,4,2
,647,4,Divorced,37550,1,2
,2764,4,Divorced,65820,3,3
,1741,1,Single,74060,4,2
,2573,3,Divorced,48050,4,2
,1272,4,Married,27410,3,3
,1085,3,Married,42620,2,2
,1109,2,Divorced,161840,4,2
,4320,4,Single,115570,2,0
,4996,3,Married,18780,4,2
,2854,1,Single,109320,3,3
,4072,3,Single,68110,3,4
,2871,3,Single,43060,1,3
,4623,3,Divorced,48590,4,3
,723,2,Single,53370,1,2
,3463,4,Married,23400,4,2
,110,4,Single,74910,3,3
,5006,3,Divorced,105270,4,3
,226,2,Single,165950,4,2
,2469,4,Divorced,88340,3,1
,2475,3,Single,55770,4,3
,2310,4,Divorced,47070,3,4
,1500,3,Married,24000,3,3
,3244,3,Married,98240,3,2
,5205,4,Married,64470,2,3
,1337,2,Single,195020,4,3
,543,4,Single,27250,3,4
,5501,4,Married,62720,1,3
,1404,3,Married,21270,4,3
,3636,4,Single,182000,2,3
,3777,4,Single,20960,3,2
,5082,4,Divorced,28860,2,4
,687,4,Single,20330,4,5
,5039,2,Single,36220,4,0
,4167,4,Married,42330,3,5
,5088,3,Single,36810,NA,2
,395,1,Divorced,54600,3,3
,3676,3,Divorced,21870,1,1
,178,3,Married,96020,4,3
,3950,2,Single,28360,3,3
,3050,1,Married,40890,1,2
,1703,3,Married,166270,4,5
,3560,3,Single,26190,4,3
,2883,3,Married,56790,3,2
,4332,2,Married,154020,4,3
,4364,1,Single,59850,4,1
,938,2,Single,25790,2,1
,4789,4,Married,30410,2,2
,5529,1,Single,34470,1,5
,4103,2,Divorced,195130,4,1
,3350,3,Single,27730,3,3
,1547,1,Single,71040,4,3
,4141,3,Married,63220,1,2
,1526,3,Married,20830,3,3
,669,3,Married,83810,4,3
,5484,2,Single,26910,4,6
,371,1,Divorced,42860,3,6
,3887,2,Divorced,26590,4,2
,4769,3,Single,94340,3,3
,679,4,Divorced,55610,3,2
,4478,2,Single,66460,3,2
,2163,2,Divorced,77250,3,2
,5044,4,Divorced,107250,2,5
,2878,3,Single,88470,3,3
,1486,2,Married,20450,4,3
,3008,4,Married,10090,3,3
,2296,4,Married,33480,2,2
,1757,2,Married,12810,1,2
,3049,1,Single,28190,4,2
,2574,3,Married,48510,3,2
,2053,1,Single,40280,4,3
,5305,4,Single,27200,4,2
,1621,4,Married,81200,4,2
,5182,4,Single,46470,4,3
,662,3,Single,46800,1,0
,2559,4,Married,32210,4,2
,1610,2,Divorced,86210,1,1
,4090,3,Divorced,45770,2,3
,2669,3,Married,45530,2,2
,4144,2,Single,53960,3,2
,443,2,Married,67960,4,2
,572,3,Divorced,76250,4,2
,3562,4,Single,74120,3,4
,2921,3,Married,111590,3,2
,3124,2,Married,49600,4,3
,5108,4,Married,104750,1,3
,3920,3,Married,148140,2,2
,5568,3,Divorced,191410,4,2
,1831,2,Married,54050,3,3
,602,3,Married,87930,2,2
,3164,4,Married,191890,3,3
,4796,2,Married,38750,3,3
,4121,4,Married,22160,1,2
,3532,1,Married,117130,4,2
,3726,2,Single,78610,1,1
,2418,4,Married,37080,4,2
,2735,5,Single,137700,4,3
,1699,2,Single,53040,1,2
,4329,3,Married,26420,3,3
,4622,2,Married,27590,3,6
,3514,5,Single,68040,1,1
,4449,4,Single,61420,3,2
,4243,4,Married,25000,1,2
,569,4,Single,63890,3,2
,906,3,Single,111030,2,5
,1676,5,Single,23420,1,2
,4001,2,Single,68110,3,2
,4407,3,Single,22970,4,2
,2467,3,Married,24500,4,2
,5132,3,Divorced,50930,2,3
,2697,3,Single,53090,1,5
,4950,3,Single,30570,2,3
,3907,3,Divorced,51210,4,4
,2926,3,Single,168560,1,3
,3599,1,Divorced,26860,4,3
,2235,3,Single,61800,1,2
,537,4,Married,66320,2,3
,5211,3,Single,35050,1,2
,1285,3,Married,63970,3,3
,3917,4,Married,62740,1,0
,4318,4,Married,198590,1,3
,1787,4,Single,75870,3,5
,2036,4,Married,42580,1,2
,3624,2,Married,43640,1,3
,1248,1,Married,43350,4,5
,2734,3,Married,53260,4,2
,5120,2,Married,32800,4,3
,2540,3,Married,54850,2,2
,1197,2,Divorced,43420,3,6
,5686,3,Divorced,27820,1,5
,2715,1,Divorced,59800,1,2
,1825,4,Single,43810,1,1
,2042,3,Single,25720,3,3
,992,2,Divorced,38330,2,1
,3342,4,Single,42440,4,3
,4794,4,Married,65000,2,5
,4980,2,Married,184300,2,5
,4070,3,Divorced,16010,3,3
,4670,4,Married,26940,1,3
,4173,4,Divorced,31490,4,1
,5219,2,Single,176390,4,0
,1921,3,Single,23190,3,4
,2152,4,Single,116910,4,2
,5398,3,Married,53240,1,2
,5526,4,Divorced,167520,3,3
,1780,1,Single,52280,4,2
,2100,3,Married,27000,4,2
,5271,4,Single,192460,4,5
,145,2,Married,25060,4,3
,3937,4,Single,60620,1,2
,2037,3,Married,43820,1,2
,5154,3,Divorced,21430,3,2
,4644,1,Married,61620,2,5
,5067,3,Divorced,50940,3,5
,4324,4,Divorced,68770,2,3
,3854,3,Married,22740,1,5
,2021,3,Single,44340,1,1
,4745,1,Single,62880,1,2
,1462,4,Married,25530,4,4
,2114,3,Single,76540,2,3
,1142,3,Married,51600,4,3
,4062,2,Single,171590,2,1
,287,2,Divorced,128080,3,6
,3291,2,Divorced,102210,3,2
,2248,3,Married,47790,4,6
,1348,2,Married,37370,1,2
,1928,4,Married,23660,3,5
,245,3,Single,17060,3,3
,5165,4,Divorced,163070,1,3
,2218,3,Single,59330,3,3
,3401,4,Married,34240,3,3
,4124,1,Married,40370,4,2
,405,1,Married,25590,3,3
,316,4,Single,62010,4,2
,5206,3,Single,44030,3,3
,3529,3,Divorced,37610,2,3
,3986,3,Single,109340,1,2
,4565,1,Married,107610,4,5
,4961,1,Single,51750,2,2
,126,2,Married,138260,3,1
,5004,4,Single,63340,4,2
,636,4,Single,49360,1,2
,5263,3,Single,47750,4,3
,1021,3,Married,28180,4,2
,3944,3,Single,25150,4,3
,3915,3,Single,23420,3,2
,3846,5,Married,41940,2,3
,5188,3,Married,106850,3,2
,685,2,Married,20220,1,1
,1849,3,Married,23140,3,5
,2753,1,Single,42560,4,1
,3170,3,Married,35800,4,1
,4642,4,Married,31620,4,1
,1736,1,Married,65240,1,2
,5299,3,Married,28990,2,3
,947,5,Single,52310,3,4
,3054,2,Divorced,23560,3,5
,5323,3,Divorced,28000,4,0
,4550,3,Divorced,118360,1,2
,5543,1,Married,109030,2,3
,5193,4,Married,29730,4,0
,1069,3,Single,142750,3,5
,3721,4,Divorced,55620,3,2
,4874,4,Married,45370,NA,5
,4876,1,Married,76420,1,2
,135,3,Married,179240,2,2
,4358,3,Married,52040,3,2
,4140,2,Single,22770,4,2
,590,3,Married,27950,3,4
